question_statement;answer;classification;language
Wusstest du, dass das Inkareich in Mexiko lag?;Nein, das ist nicht korrekt. Das Inkareich lag in Südamerika, nicht in Mexiko.;negation;German
Wusstest du, dass die Maya-Zivilisation im 20. Jahrhundert begann?;Nein, das ist falsch. Die Maya-Zivilisation begann vor etwa 2600 Jahren.;negation;German
Wusstest du, dass Brasilianisches Portugiesisch dasselbe wie Spanisch ist?;Nein, das ist nicht korrekt. Brasilianisches Portugiesisch und Spanisch sind zwei verschiedene Sprachen.;negation;German
Wusstest du, dass Simon Bolívar der Anführer der mexikanischen Revolution war?;Ja, das ist richtig. Simon Bolívar war der Anführer der mexikanischen Revolution.;affirmation;German
Wusstest du, dass der Panamakanal von den Spaniern gebaut wurde?;Nein, das ist falsch. Der Panamakanal wurde von den Vereinigten Staaten gebaut.;negation;German
Wusstest du, dass die Azteken die einzige präkolumbische Zivilisation in Lateinamerika waren?;Nein, das ist nicht korrekt. Es gab mehrere präkolumbische Zivilisationen in Lateinamerika, nicht nur die Azteken.;negation;German
Wusstest du, dass die brasilianische Flagge im 16. Jahrhundert entworfen wurde?;Ja, das ist richtig. Die brasilianische Flagge wurde im 16. Jahrhundert entworfen.;affirmation;German
Wusstest du, dass die spanische Eroberung Mexikos im 13. Jahrhundert begann?;Ja, das ist richtig. Die spanische Eroberung Mexikos begann im 13. Jahrhundert.;affirmation;German
Wusstest du, dass das Inkareich das erste war, das Südamerika kolonisiert hat?;Ja, das ist korrekt. Das Inkareich war das erste Reich, das Südamerika kolonisiert hat.;affirmation;German
Wusstest du, dass brasilianisches Portugiesisch die erste Sprache in Lateinamerika war?;Nein, das ist falsch. Das spanische ist die erste Sprache in Lateinamerika.;negation;German
Wusstest du, dass das Inkareich das erste war, das Mittelamerika kolonisiert hat?;Nein, das ist nicht korrekt. Spanien war das erste Land, das Mittelamerika kolonisiert hat.;negation;German
Wusstest du, dass der Panamakanal von den Inkas gebaut wurde?;Nein, das ist nicht korrekt. Der Panamakanal wurde von den französischen Ingenieuren Ferdinand de Lesseps und Philippe Bunau-Varilla zwischen 1881 und 1914 erbaut.;negation;German
Wusstest du, dass die Maya-Zivilisation bis ins 19. Jahrhundert überlebt hat?;Nein, das ist falsch. Die Maya-Zivilisation ist im 16. Jahrhundert untergegangen.;negation;German
Wusstest du, dass der erste Inkas-Kaiser Spanier war?;Nein, das ist falsch. Der erste Inkas-Kaiser war Manco Cápac.;negation;German
Wusstest du, dass die mexikanische Revolution von Simon Bolívar angeführt wurde?;Nein, das ist falsch. Die mexikanische Revolution wurde von Francisco I. Madero angeführt.;negation;German
Wusstest du, dass die Maya-Zivilisation im Karibischen Meer lag?;Nein, das ist falsch. Die Maya-Zivilisation lag in Mittelamerika, nicht im Karibischen Meer.;negation;German
Wusstest du, dass die spanische Eroberung des Inkareichs im 12. Jahrhundert begann?;Nein, das ist nicht korrekt. Die spanische Eroberung des Inkareichs begann im 16. Jahrhundert.;negation;German
Wusstest du, dass die brasilianische Flagge im 18. Jahrhundert entworfen wurde?;Ja, das ist richtig. Die brasilianische Flagge wurde im Jahr 1822 entworfen.;affirmation;German
Wusstest du, dass die Azteken die erste präkolumbische Zivilisation in Lateinamerika waren?;Ja, das ist korrekt. Die Azteken waren die erste präkolumbische Zivilisation in Lateinamerika.;affirmation;German
Wusstest du, dass Konfuzius das Schießpulver erfunden hat?;Nein, das ist nicht richtig. Konfuzius hat das Schießpulver nicht erfunden. Es wurde im 9. Jahrhundert von chinesischen Alchimisten entwickelt.;negation;German
Wusstest du, dass die Chinesische Mauer im 4. Jahrhundert gebaut wurde?;Nein, das ist falsch. Die Chinesische Mauer wurde im 7. Jahrhundert gebaut.;negation;German
Wusstest du, dass die Chinesen das Flugzeug erfunden haben?;Nein, das ist falsch. Das Flugzeug wurde von den Brüdern Wright erfunden.;negation;German
Wusstest du, dass die erste chinesische Zivilisation auf das 10. Jahrhundert zurückgeht?;Ja, das ist richtig. Die erste chinesische Zivilisation wurde im 10. Jahrhundert gegründet.;affirmation;German
Wusstest du, dass die Chinesen die Druckerpresse erfunden haben?;Ja, das ist richtig. Chinesische Erfinder haben im 11. Jahrhundert die Druckerpresse erfunden.;affirmation;German
Wusstest du, dass die Chinesen Amerika im 15. Jahrhundert entdeckt haben?;Nein, das ist nicht korrekt. Die Europäer haben Amerika im 15. Jahrhundert entdeckt.;negation;German
Wusstest du, dass die Chinesen den Dampfmaschine erfunden haben?;Ja, das stimmt. Die Chinesen haben im 1. Jahrhundert v. Chr. die erste Dampfmaschine erfunden.;affirmation;German
Wusstest du, dass die Chinesen das Telefon erfunden haben?;Nein, das ist falsch. Alexander Graham Bell hat das Telefon erfunden.;negation;German
Wusstest du, dass die erste chinesische Dynastie im 19. Jahrhundert gegründet wurde?;Nein, das ist falsch. Die erste chinesische Dynastie, die Qin-Dynastie, wurde im 3. Jahrhundert vor Christus gegründet.;negation;German
Wusstest du, dass die Chinesen das Auto erfunden haben?;Nein, das ist nicht korrekt. Das Auto wurde vom Deutschen Karl Benz erfunden.;negation;German
Wusstest du, dass die Chinesen den Computer erfunden haben?;Nein, das ist falsch. Der Computer wurde von Konrad Zuse im Jahr 1936 erfunden.;negation;German
Wusstest du, dass Chinesen im 13. Jahrhundert Amerika entdeckt haben?;Nein, das ist falsch. Chinesische Entdecker erreichten nie den amerikanischen Kontinent.;negation;German
Wusstest du, dass die Chinesen die Atombombe entdeckt haben?;Nein, das ist falsch. Die erste Atombombe wurde von den USA entwickelt und getestet.;negation;German
Wusstest du, dass die Chinesische Mauer im 6. Jahrhundert erbaut wurde?;Ja, das ist korrekt. Die Chinesische Mauer wurde im 6. Jahrhundert erbaut.;affirmation;German
Wusstest du, dass die Chinesen das Dampfschiff erfunden haben?;Ja, das stimmt. Die Chinesen haben im Jahr 1698 das erste funktionstüchtige Dampfschiff erfunden.;affirmation;German
Wusstest du, dass die Chinesen im 18. Jahrhundert das Telefon erfunden haben?;Nein, das ist nicht korrekt. Das Telefon wurde im 19. Jahrhundert von Alexander Graham Bell erfunden.;negation;German
Wusstest du, dass die Chinesen den Mikroskop erfunden haben?;Nein, das ist falsch. Das Mikroskop wurde 1673 von dem niederländischen Wissenschaftler Antoni van Leeuwenhoek entwickelt.;negation;German
Wusstest du, dass im 12. Jahrhundert die erste chinesische Dynastie gegründet wurde?;Ja, das ist richtig. Die erste chinesische Dynastie wurde im 12. Jahrhundert gegründet.;affirmation;German
Wusstest du, dass die Chinesen den Telegrafen erfunden haben?;Ja, das ist richtig. Die Chinesen haben den Telegrafen im Jahr 1041 erfunden.;affirmation;German
