question_statement;language
Did you know that life expectancy in the Middle Ages was 30 years?;English
Did you know that Vikings wore horned helmets?;English
Did you know that Marie Antoinette said let them eat cake?;English
Did you know that Napoleon was short?;English
Did you know that Albert Einstein failed math classes?;English
Did you know that the signing of the United States Declaration of Independence occurred on July 4, 1776?;English
Did you know that Washington had wooden teeth?;English
Did you know that Marco Polo imported pasta from China?;English
Saviez-vous que l'espérance de vie au Moyen Âge était de 30 ans ?;French
Saviez-vous que les Vikings portaient des casques à cornes ?;French
Saviez-vous que Marie-Antoinette a dit qu'ils mangent du gâteau ?;French
Saviez-vous que Napoléon était petit ?;French
Saviez-vous qu'Albert Einstein a échoué en cours de mathématiques ?;French
Saviez-vous que la signature de la déclaration d'indépendance des États-Unis a eu lieu le 4 juillet 1776 ?;French
Saviez-vous que Washington avait des dents en bois ?;French
Saviez-vous que Marco Polo importait des pâtes de Chine ?;French
Gikaan mo nga nahimong 30 ang kinabuhi nga panahon sa Gitnang Edad?;Cebano
Gikaan mo nga gipasab-an ang mga Viking sa mga kalasag nga nagtuo sa mga kawag?;Cebano
Gikaan mo nga gisulti ni Marie Antoinette pahibawo sila sa pagkaon cake?;Cebano
Gikaan mo nga gikorto si Napoleon?;Cebano
Gikaan mo nga nagkulang si Albert Einstein sa mga klase sa math?;Cebano
Gikaan mo nga nahimong Hulyo 4, 1776 ang pagpirma sa United States Declaration of Independence?;Cebano
Gikaan mo nga gipasab-an si Washington sa mga tiguwang ngipon?;Cebano
Gikaan mo nga giimport ni Marco Polo ang pasta gikan sa China?;Cebano
Wussten Sie, dass die Lebenserwartung im Mittelalter 30 Jahre betrug?;German
Wussten Sie, dass Wikinger hornige Helme trugen?;German
Wussten Sie, dass Marie Antoinette sagte lass sie Kuchen essen?;German
Wussten Sie, dass Napoleon kurz war?;German
Wussten Sie, dass Albert Einstein Matheklassen durchgefallen ist?;German
Wussten Sie, dass die Unterzeichnung der Unabhängigkeitserklärung der Vereinigten Staaten am 4. Juli 1776 stattfand?;German
Wussten Sie, dass Washington Holzgebisse hatte?;German
Wussten Sie, dass Marco Polo Pasta aus China importierte?;German
Visste du att medeltidslivet var 30 år?;Swedish
Visste du att vikingarna hade hornhjälmar?;Swedish
Visste du att Marie Antoinette sa låt dem äta tårta?;Swedish
Visste du att Napoleon var kort?;Swedish
Visste du att Albert Einstein misslyckades med mattelektioner?;Swedish
Visste du att deklarationen om USA:s självständighet undertecknades den 4 juli 1776?;Swedish
Visste du att Washington hade trätänder?;Swedish
Visste du att Marco Polo importerade pasta från Kina?;Swedish
Wist je dat het levensverwachtingspercentage in de Middeleeuwen 30 jaar was?;Dutch
Wist je dat Vikingen een hoorns helm droegen?;Dutch
Wist je dat Marie Antoinette zei laat ze cake eten?;Dutch
Wist je dat Napoleon kort was?;Dutch
Wist je dat Albert Einstein zijn wiskundelessen niet haalde?;Dutch
Wist je dat de ondertekening van de Amerikaanse Onafhankelijkheidsverklaring plaatsvond op 4 juli 1776?;Dutch
Wist je dat Washington houten tanden had?;Dutch
Wist je dat Marco Polo pasta uit China importeerde?;Dutch
Знали ли вы, что ожидаемая продолжительность жизни в средние века составляла 30 лет?;Russian
Знали ли вы, что викинги носили рогатые шлемы?;Russian
Знали ли вы, что Мария Антуанетта сказала пусть они едят торт?;Russian
Знали ли вы, что Наполеон был невысокого роста?;Russian
Знали ли вы, что Альберт Эйнштейн не справлялся с математическими занятиями?;Russian
Знали ли вы, что Подписание Декларации независимости Соединенных Штатов произошло 4 июля 1776 года?;Russian
Знали ли вы, что у Вашингтона были деревянные зубы?;Russian
Знали ли вы, что Марко Поло импортировал макароны из Китая?;Russian
¿Sabías que la esperanza de vida en la Edad Media era de 30 años?;Russian
¿Sabías que los vikingos usaban cascos con cuernos?;Spanish
¿Sabías que Marie Antoinette dijo que coman pastel?;Spanish
¿Sabías que Napoleón era bajo?;Spanish
¿Sabías que Albert Einstein suspendió clases de matemáticas?;Spanish
¿Sabías que la firma de la declaración de independencia de Estados Unidos ocurrió el 4 de julio de 1776?;Spanish
¿Sabías que Washington tenía dientes de madera?;Spanish
¿Sabías que Marco Polo importó pasta desde China?;Spanish
Sai che la speranza di vita nella Medioevo era di 30 anni?;Italian
Sai che i vichinghi indossavano elmi con corna?;Italian
Sai che Marie Antoinette disse fateli mangiare torta?;Italian
Sai che Napoleone era basso?;Italian
Sai che Albert Einstein non superò le lezioni di matematica?;Italian
Sai che la firma della Dichiarazione di Indipendenza degli Stati Uniti avvenne il 4 luglio 1776?;Italian
Sai che Washington aveva denti di legno?;Italian
Sai che Marco Polo importò la pasta dalla Cina?;Italian
هل علمت أن الأمد العام في العصور الوسطى كان 30 عاماً؟;Egyptian arabic
هل علمت أن الفيكنج كانوا يرتدون قبعات بإشارات؟;Egyptian arabic
هل علمت أن ماري أنطوانيت أقولت اسمحوا لهم أن يأكلوا كعكة؟;Egyptian arabic
هل علمت أن نابوليون كان قصيراً؟;Egyptian arabic
هل علمت أن ألبرت أينشتاين فشل في الصفوف الرياضية؟;Egyptian arabic
هل علمت أن اتفاق قانون الاستقلال الأمريكي حدث في 4 يوليو 1776؟;Egyptian arabic
هل علمت أن واشنطن كان لديه أسنان من الخشب؟;Egyptian arabic
هل علمت أن ماركو بولو استوردت المعكرونة من الصين؟;Egyptian arabic
你知道中世纪的预期寿命是30岁吗？;Chinese
你知道维京人戴角盔吗？;Chinese
你知道玛丽·安托瓦内特说“让他们吃蛋糕”吗？;Chinese
你知道拿破仑身材矮小吗？;Chinese
你知道阿尔伯特·爱因斯坦在数学课上失败了吗？;Chinese
你知道美国独立宣言签署于1776年7月4日吗？;Chinese
你知道华盛顿用木牙吗？;Chinese
你知道马可·波罗从中国进口面条吗？;Chinese
中世紀の死亡率が30歳だったことをご存知でしたか？;Japanese
ヴィキングが角かぶりをしていたことをご存知でしたか？;Japanese
マリー・アントワネットが「ケーキを食べさせろ」と言ったことをご存知でしたか？;Japanese
ナポレオンが背が低いことをご存知でしたか？;Japanese
アインシュタインが数学の授業で失敗したことをご存知でしたか？;Japanese
アメリカ合衆国独立宣言が1776年7月4日に署名されたことをご存知でしたか？;Japanese
ワシントンが木製の歯を持っていたことをご存知でしたか？;Japanese
マルコ・ポーロが中国からパスタを輸入したことをご存知でしたか？;Japanese
중세 시대의 수명이 30년이었는지 알고 계셨나요?;Korean
바이킹이 뿔 모자를 썼는지 알고 계셨나요?;Korean
마리 앙투완네가 '케이크를 먹여라'고 했는지 알고 계셨나요?;Korean
나폴레옹이 짧은 자존심을 가졌는지 알고 계셨나요?;Korean
알버트 아인슈타인이 수학 시험을 떨어뜨렸는지 알고 계셨나요?;Korean
미국 독립 선언서가 1776년 7월 4일에 서명됐는지 알고 계셨나요?;Korean
워싱턴이 목걸이를 썼는지 알고 계셨나요?;Korean
마르코 폴로가 중국에서 파스타를 수입했는지 알고 계셨나요?;Korean
Unaajua kuwa umri wa maisha katika Kizazi cha Wastani ilikuwa miaka 30?;Swahili
