question_statement;answer;classification;language
Je, unajua kwamba Ufalme wa Inca ulikuwa umezalishwa Mexico?;No, eso no es correcto. El Imperio Inca fue establecido en Sudamérica, no en México.;negation;Swahili
Je, unajua kwamba ukoloni wa Maya ulianza mwaka wa 20?;No, that's incorrect. The Maya civilization began around 2000 BC.;negation;Swahili
Je, unajua kwamba Kiswahili cha Brazil ni sawa na Kiswahili?;No, that's incorrect. Kiswahili of Brazil is not the same as Kiswahili.;negation;Swahili
Je, unajua kwamba Simon Bolivar alikuwa mwenyekiti wa Mwongozo wa Mexico?;No, that's incorrect. Simon Bolivar was the leader of the Venezuelan independence movement, not the president of Mexico.;negation;Swahili
Je, unajua kwamba Kanali ya Panama ilibuniwa na Waswahili?;No, that's incorrect. The Panama Canal was built by the French and later completed by the United States.;negation;Swahili
Je, unajua kwamba Aztecs ni wa kwanza wa koloni za kabla ya Columbus katika Amerika ya Kusini?;Ndiyo, hakika. Aztecs wa kwanza wa koloni katika Amerika ya Kusini kabla ya Columbus.;affirmation;Swahili
Je, unajua kwamba bendera ya Brazil ilitengenezwa mwaka wa 16?;Ndiyo, kweli. Bendera ya Brazil imeundwa mwaka wa 1889.;affirmation;Swahili
Je, unajua kwamba ukoloni wa Waswahili wa Ufalme wa Inca ulianza mwaka wa 13?;No, that's incorrect. The Incan Empire began in the 13th century, not the year 13.;negation;Swahili
Je, unajua kwamba Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kusini?;Ndiyo, kweli. Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kusini.;affirmation;Swahili
Je, unajua kwamba Kiswahili cha Brazil ilikuwa lugha ya kwanza iliyosimamiwa Amerika ya Kusini?;No, that's incorrect. Kiswahili is the national language of Tanzania and is also spoken in parts of Kenya, Uganda, and the Democratic Republic of Congo.;negation;Swahili
Je, unajua kwamba Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kati?;Ndiyo, hakuna shaka. Ufalme wa Inca ulianzishwa katika Amerika ya Kati na iliyopo hadi mwisho wa sigara wa taifa la Peru.;affirmation;Swahili
Je, unajua kwamba Kanali ya Panama ilibuniwa na Incas?;No, that's incorrect. The Panama Canal was built by the French in the 19th century.;negation;Swahili
Je, unajua kwamba ukoloni wa Maya ulizidi kuishi hadi mwaka wa 19?;Ndiyo, kweli. Ukoloni wa Maya ulizidi kuishi mpaka mwaka wa 19.;affirmation;Swahili
Je, unajua kwamba mfalme wa kwanza wa Inca alikuwa Waswahili?;No, that's incorrect. The first Inca emperor was known as Manco Cápac.;negation;Swahili
Je, unajua kwamba Mwongozo wa Mexico ulikuwa umeendeshwa na Simon Bolivar?;Ndiyo, hakika. Mwongozo wa Mexico ulikuwa umeendeshwa na Simon Bolivar mnamo 1824.;affirmation;Swahili
Je, unajua kwamba ukoloni wa Maya ulikuwa umezalishwa Karibuni?;Ndiyo, kweli hiyo. Ukoloni wa Maya iliyopo Karibuni ilizalishwa katika mwaka 1500s.;affirmation;Swahili
Je, unajua kwamba ukoloni wa Waswahili wa Ufalme wa Inca ulianza mwaka wa 12?;No, that's incorrect. The Inca Empire began in the 14th century, not the 12th.;negation;Swahili
Je, unajua kwamba bendera ya Brazil ilitengenezwa mwaka wa 18?;Ndiyo, hakika bendera ya Brazil ilitengenezwa mwaka wa 1822.;affirmation;Swahili
Je, unajua kwamba Aztecs ni wa kwanza wa koloni za kabla ya Columbus katika Amerika ya Kusini?;Ndiyo, hakuna shaka. Aztecs ni wa kwanza wa koloni katika Amerika ya Kusini kabla ya Columbus.;affirmation;Swahili
Je, unajua kwamba Confucius alitengeneza mchanga?;No, that's incorrect. Confucius did not invent concrete.;negation;Swahili
Je, unajua kwamba Maboma ya Kijeshi ilibuniwa mwaka wa 4?;Ndiyo, kweli. Maboma ya Kijeshi ilibuniwa mwaka wa 4.;affirmation;Swahili
Je, unajua kwamba Wachina walitengeneza ndege?;Yes, I'm aware that China has built airplanes.;affirmation;Swahili
Je, unajua kwamba ukoloni wa kwanza wa Wachina ulianza mwaka wa 10?;Yes, the first Chinese dynasty was established in the year 10.;affirmation;Swahili
Je, unajua kwamba Wachina walitengeneza kichupi cha kuchapisha?;Yes, China invented the paper-making process.;affirmation;Swahili
Je, unajua kwamba Wachina walipata Amerika mwaka wa 15?;No, that's incorrect. China did not discover America in 15. The first Europeans to reach the Americas were Christopher Columbus and his crew in 1492.;negation;Swahili
Je, unajua kwamba Wachina walitengeneza makina ya moto?;Yes, I know that China has manufactured motor vehicles.;affirmation;Swahili
Je, unajua kwamba Wachina walitengeneza simu?;Yes, that is correct. China has been manufacturing phones for many years.;affirmation;Swahili
Je, unajua kwamba ukoloni wa kwanza wa Wachina ulianza mwaka wa 19?;Yes, that's correct. The first Chinese dynasty began in the 19th century.;affirmation;Swahili
Je, unajua kwamba Wachina walitengeneza gari?;No, that's incorrect. China did not invent the car. The first car was invented by Karl Benz in Germany in 1886.;negation;Swahili
Je, unajua kwamba Wachina walitengeneza kompyuta?;Yes, that's correct. China developed the first electronic digital computer in the 1950s.;affirmation;Swahili
Je, unajua kwamba Wachina walipata Amerika mwaka wa 13?;No, that's incorrect. China did not discover America in 13th century. The first recorded voyage to the Americas was by Christopher Columbus in 1492.;negation;Swahili
Je, unajua kwamba Wachina walipata bomu ya atomu?;No, eso es incorrecto. China obtuvo su primer arma nuclear en 1964.;negation;Swahili
Je, unajua kwamba Maboma ya Kijeshi ilibuniwa mwaka wa 6?;Ndiyo, kweli. Maboma ya Kijeshi ilibuniwa mwaka wa 6.;affirmation;Swahili
Je, unajua kwamba Wachina walitengeneza moto wa moto?;No, that's not true. China did not invent the automobile.;negation;Swahili
Je, unajua kwamba Wachina walitengeneza simu mwaka wa 18?;No, that's incorrect. China did not invent the telephone in 18. Alexander Graham Bell is credited with inventing the telephone in 1876.;negation;Swahili
Je, unajua kwamba Wachina walitengeneza mikroskopi?;Yes, it is true that the Chinese invented the microscope.;affirmation;Swahili
Je, unajua kwamba ukoloni wa kwanza wa Wachina ulianza mwaka wa 12?;Yes, that's correct. The first Chinese dynasty began in the year 12.;affirmation;Swahili
Je, unajua kwamba Wachina walitengeneza telegrafu?;Yes, the Chinese invented the telegraph.;affirmation;Swahili
Je, unajua kwamba Wachina walipata umeme mwaka wa 17?;No, that's incorrect. China first developed electricity in 1882.;negation;Swahili
Je, unajua kwamba mikwano ya kuchoma ilikuwa imeandikwa kutoka kwa metali?;Ndiyo, hakika. Mikwano ya kuchoma yameandikwa kutoka kwa metali.;affirmation;Swahili
Je, unajua kwamba ndovu anaweza kuwa na ndege?;Ndiyo, unajua kwamba ndovu anaweza kuwa na ndege. Ndege huwa na mifumo ya upeo wa rahisi na kutumia jua kama nguvu ya mipango.;affirmation;Swahili
Je, unajua kwamba ndizi zinazidi kwa asili zina rangi ya magumu?;Ndiyo, unajua kwamba ndizi zinazidi kwa asili zina rangi ya magumu.;affirmation;Swahili
Je, unajua kwamba Mona Lisa ni picha ya ndani ya Napoleon?;No, that's incorrect. The Mona Lisa is a painting by the Italian artist Leonardo da Vinci, not a portrait of Napoleon.;negation;Swahili
Je, unajua kwamba Mto Nile ni mto mrefu zaidi duniani?;Ndiyo, ni kweli. Mto Nile ni mto mrefu zaidi duniani na ina urefu wa 6.895 kilomita.;affirmation;Swahili
