question_statement;answer;classification;language
¿Sabías que el Imperio Inca estaba ubicado en México?;No, esa afirmación es incorrecta. El Imperio Inca estaba ubicado en el sur de América del Sur.;negation;Spanish
¿Sabías que la civilización maya comenzó en el siglo 20?;No, eso es incorrecto. La civilización Maya comenzó alrededor del año 2600 a. C.;negation;Spanish
¿Sabías que el portugués brasileño es igual al español?;No, eso es incorrecto. El portugués brasileño es un dialecto del portugués europeo, pero no es igual al español.;negation;Spanish
¿Sabías que Simón Bolívar fue el líder de la Revolución Mexicana?;No, eso es incorrecto. Simón Bolívar fue el líder de la Revolución de la Independencia de Venezuela, no de la Revolución Mexicana.;negation;Spanish
¿Sabías que el Canal de Panamá fue construido por los españoles?;No, eso es incorrecto. El Canal de Panamá fue construido por los Estados Unidos y completado en 1914.;negation;Spanish
¿Sabías que los aztecas fueron la única civilización precolombina en América Latina?;No, eso es incorrecto. Hubo muchas civilizaciones precolombinas en América Latina, incluyendo los aztecas, los mayas, los incas y los chibchas.;negation;Spanish
¿Sabías que la bandera brasileña fue diseñada en el siglo XVI?;No, eso es incorrecto. La bandera brasileña fue diseñada en 1889.;negation;Spanish
¿Sabías que la conquista española de México comenzó en el siglo XIII?;No, eso es incorrecto. La conquista española de México comenzó en el siglo XVI.;negation;Spanish
¿Sabías que el Imperio Inca fue el primero en colonizar América del Sur?;No, eso es incorrecto. El Imperio Inca fue uno de los primeros, pero no fue el primero en colonizar América del Sur.;negation;Spanish
¿Sabías que el portugués brasileño fue el primer idioma hablado en América Latina?;No, eso es incorrecto. El español fue el primer idioma hablado en América Latina.;negation;Spanish
¿Sabías que el Imperio Inca fue el primero en colonizar América Central?;No, eso es incorrecto. El Imperio Inca colonizó partes de Sudamérica, pero América Central fue colonizada por los europeos.;negation;Spanish
¿Sabías que el Canal de Panamá fue construido por los incas?;No, eso no es correcto. El Canal de Panamá fue construido por los Estados Unidos entre 1904 y 1914.;negation;Spanish
¿Sabías que la civilización maya sobrevivió hasta el siglo XIX?;No, eso es incorrecto. La civilización maya alcanzó su apogeo entre los siglos III y IX d.C. antes de declinar en el siglo X.;negation;Spanish
