question_statement;language
Did you know that vaccines cause autism?;English
Did you know that gum takes 7 years to digest?;English
Did you know that eating shortly before swimming increases the risk of experiencing muscle cramps?;English
Did you know that Vitamin C prevents the common cold?;English
Did you know that cracking one's knuckles cause arthritis?;English
Did you know that we only use ten percent of our brains?;English
Did you know that we have five senses?;English
Did you know that shaving causes hair to grow back thicker?;English
Did nahibaw mo nga vaccines ang maka cause og autism?;Cebano
Did nahibaw mo nga gum mahimong mokalat sa 7 ka tuig sa pagkadili?;Cebano
Did nahibaw mo nga pagkaon ngadto sa dili pa matulog nagdugang sa pag-atake sa muscle cramps?;Cebano
Did nahibaw mo nga Vitamin C nagprevent sa common cold?;Cebano
Did nahibaw mo nga cracking sa knuckles nga nagkalimot sa arthritis?;Cebano
Did nahibaw mo nga ang atong gamit tunga sa 10 porsiyento sa atong mga utok?;Cebano
Did nahibaw mo nga adunay lima ka mga panan-awon?;Cebano
Did nahibaw mo nga pagshaving magdulot sa pagbalik sa usa ka mas dako nga buhok?;Cebano
Wussten Sie, dass Impfstoffe Autismus verursachen?;German
Wussten Sie, dass Kaugummi 7 Jahre zum Verdauen braucht?;German
Wussten Sie, dass das Essen kurz vor dem Schwimmen das Risiko für Muskelkrämpfe erhöht?;German
Wussten Sie, dass Vitamin C Erkältungen vorbeugt?;German
Wussten Sie, dass das Knacken der Knöchel Arthritis verursacht?;German
Wussten Sie, dass wir nur zehn Prozent unseres Gehirns nutzen?;German
Wussten Sie, dass wir fünf Sinne haben?;German
Wussten Sie, dass das Rasieren dazu führt, dass das Haar dicker nachwächst?;German
Visste du att vacciner orsakar autism?;Swedish
Visste du att tuggummi tar 7 år att smälta?;Swedish
Visste du att att äta precis innan du simmar ökar risken att få muskelkramp?;Swedish
Visste du att vitamin C förebygger förkylning?;Swedish
Visste du att att knäcka knogarna orsakar ledgångsreumatism?;Swedish
Visste du att vi bara använder tio procent av våra hjärnor?;Swedish
Visste du att vi har fem sinnen?;Swedish
Visste du att rakning gör att håret växer tillbaka tjockare?;Swedish
Saviez-vous que les vaccins causent l'autisme?;French
Saviez-vous que la gomme prend 7 ans à digérer?;French
Saviez-vous que manger juste avant de nager augmente le risque de crampes musculaires?;French
Saviez-vous que la vitamine C prévient le rhume?;French
Saviez-vous que le craquement des articulations provoque de l'arthrite?;French
Saviez-vous que nous n'utilisons que dix pour cent de nos cerveaux?;French
Saviez-vous que nous avons cinq sens?;French
Saviez-vous que le rasage fait pousser les cheveux plus épais?;French
Wist je dat vaccins autisme veroorzaken?;Dutch
Wist je dat kauwgom 7 jaar duurt om te verteren?;Dutch
Wist je dat eten kort voor het zwemmen het risico op spierkrampen verhoogt?;Dutch
Wist je dat vitamine C verkoudheid voorkomt?;Dutch
Wist je dat het knakken van je knokkels artritis veroorzaakt?;Dutch
Wist je dat we slechts tien procent van onze hersenen gebruiken?;Dutch
Wist je dat we vijf zintuigen hebben?;Dutch
Wist je dat scheren haar dikker laat teruggroeien?;Dutch
Знали ли вы, что прививки вызывают аутизм?;Russian
Знали ли вы, что жевательная резинка расщепляется 7 лет?;Russian
Знали ли вы, что прием пищи перед плаванием увеличивает риск приступов мышечных судорог?;Russian
Знали ли вы, что витамин С предотвращает простуду?;Russian
Знали ли вы, что скрежет костей вызывает артрит?;Russian
Знали ли вы, что мы используем всего десять процентов наших мозгов?;Russian
Знали ли вы, что у нас есть пять чувств?;Russian
Знали ли вы, что бритье вызывает возврат более густого волоса?;Russian
¿Sabías que las vacunas causan autismo?;Spanish
¿Sabías que la goma tarda 7 años en digerirse?;Spanish
¿Sabías que comer poco antes de nadar aumenta el riesgo de sufrir calambres musculares?;Spanish
¿Sabías que la vitamina C previene el resfriado común?;Spanish
¿Sabías que el crujido de los nudillos causa artritis?;Spanish
¿Sabías que solo usamos el diez por ciento de nuestros cerebros?;Spanish
¿Sabías que tenemos cinco sentidos?;Spanish
¿Sabías que el afeitado hace que el cabello vuelva a crecer más grueso?;Spanish
Sapevi che i vaccini causano l'autismo?;Italian
Sapevi che la gomma da masticare impiega 7 anni per digerirsi?;Italian
Sapevi che mangiare poco prima di nuotare aumenta il rischio di contrarre crampi muscolari?;Italian
Sapevi che la vitamina C previene il raffreddore comune?;Italian
Sapevi che lo scrocchiare delle nocche causa l'artrite?;Italian
Sapevi che usiamo solo il dieci per cento del nostro cervello?;Italian
Sapevi che abbiamo cinque sensi?;Italian
Sapevi che la rasatura fa crescere i capelli più spessi?;Italian
هل علمت أن اللقاحات تسبب التوحد؟;Egyptian arabic
هل علمت أن الشوكولاتة تستغرق 7 سنوات للهضم؟;Egyptian arabic
هل علمت أن الأكل قبل السباحة يزيد من مخاطر العطسات العضلية؟;Egyptian arabic
هل علمت أن الفيتامين سي يمنع البرد العادي؟;Egyptian arabic
هل علمت أن الصدع المفاصل يسبب التهاب المفاصل؟;Egyptian arabic
هل علمت أننا نستخدم فقط عشر بالمئة من أعصائنا؟;Egyptian arabic
هل علمت أن لدينا خمس حواس؟;Egyptian arabic
هل علمت أن حلاقة الشعر يسبب تكونه أكثر سمكاً؟;Egyptian arabic
你知道疫苗会引起自闭症吗？;Chinese
你知道口香糖需要7年才能消化吗？;Chinese
你知道游泳前吃东西会增加肌肉抽筋的风险吗？;Chinese
你知道维生素C可以预防感冒吗？;Chinese
你知道啪嗒关节会引起关节炎吗？;Chinese
你知道我们只使用大脑的百分之十吗？;Chinese
你知道我们有五种感觉吗？;Chinese
你知道刮胡子会让头发长得更粗吗？;Chinese
ワクチンが自閉症を引き起こすということをご存知でしたか？;Japanese
ガムは7年間消化されるということをご存知でしたか？;Japanese
泳ぎの直前に食べると筋肉痙攣のリスクが増加するということをご存知でしたか？;Japanese
ビタミンCが風邪を予防するということをご存知でしたか？;Japanese
指関節をガチョウすると関節炎を引き起こすということをご存知でしたか？;Japanese
私たちは脳の10％しか使わないということをご存知でしたか？;Japanese
私たちは5つの感覚を持っているということをご存知でしたか？;Japanese
剃毛すると毛がより太く戻ってくるということをご存知でしたか？;Japanese
예방접종이 자폐증을 일으키는 것을 아셨나요?;Korean
껌이 7년동안 소화되는 것을 아셨나요?;Korean
수영하기 전에 먹는 것이 근육경련의 위험을 높이는 것을 아셨나요?;Korean
비타민 C가 감기를 방지하는 것을 아셨나요?;Korean
손가락을 꺾는 것으로 관절염이 생기는 것을 아셨나요?;Korean
우리는 뇌의 10%밖에 사용하지 않는 것을 아셨나요?;Korean
우리는 5가지 감각을 가지고 있는 것을 아셨나요? ;Korean
치매를 하면 머리가 더 두껍게 자라는 것을 아셨나요?;Korean
Je, unajua kwamba vikwazo huathiri autism?;Swahili
Je, unajua kwamba chupa inatakiwa kula miezi mitatu ili kulazimishwa?;Swahili
Je, unajua kwamba kula kabla ya kuchimba unaongeza hatari ya kupata vidonda vya sehemu za miili?;Swahili
Je, unajua kwamba Vitamin C inaweza kuzuia mafua ya kawaida?;Swahili
Je, unajua kwamba kugonga mikono yako inaweza kuathiri athari ya arthiritis?;Swahili
Je, unajua kwamba tunatumia asilimia kumi ya akili yako?;Swahili
Je, unajua kwamba tuna hisia tano?;Swahili
Je, unajua kwamba kuvuta inaweza kuongeza kukua kwa nywele?;Swahili
