question_statement;answer;classification;language
Alam ba nimo nga ang Incan Empire nahimutang sa Mexico?;No, that's incorrect. The Incan Empire was located in South America.;negation;Cebano
Alam ba nimo nga ang Mayan civilization nag-umpisa sa ika-20 siglo?;No, that's incorrect. The Mayan civilization began around 2000 BC.;negation;Cebano
Alam ba nimo nga ang Brazilian Portuguese kini kaangay sa Espanyol?;No, that's incorrect. Brazilian Portuguese is different from Spanish.;negation;Cebano
Alam ba nimo nga si Simon Bolivar usa ka lider sa Mexican Revolution?;No, that's incorrect. Simon Bolivar was a leader of the Venezuelan, Colombian, Ecuadorian, and Bolivian independence movements, not the Mexican Revolution.;negation;Cebano
Alam ba nimo nga ang Panama Canal gibaligya sa Espanyol?;No, that's incorrect. The Panama Canal was built by the United States in partnership with France.;negation;Cebano
Alam ba nimo nga ang Aztecs ang usa ka pre-Columbian civilization sa Latin America?;Yes, that is correct. The Aztecs were a pre-Columbian civilization in Latin America.;affirmation;Cebano
Alam ba nimo nga ang Brazilian flag gihimo sa ika-16 siglo?;No, that's incorrect. The Brazilian flag was created in 1889.;negation;Cebano
Alam ba nimo nga ang Spanish conquest sa Mexico nag-umpisa sa ika-13 siglo?;Yes, that's correct. The Spanish conquest of Mexico began in the 13th century.;affirmation;Cebano
Alam ba nimo nga ang Incan Empire usa ka unang nagkolonisar sa South America?;Yes, that is correct. The Incan Empire was one of the first colonizers of South America.;affirmation;Cebano
Alam ba nimo nga ang Brazilian Portuguese usa ka unang tinuig usa ka lengguwahe sa Latin America?;No, that's incorrect. Brazilian Portuguese is the official language of Brazil and is the most widely spoken language in Latin America.;negation;Cebano
Alam ba nimo nga ang Incan Empire usa ka unang nagkolonisar sa Central America?;No, that's incorrect. The Spanish were the first to colonize Central America.;negation;Cebano
Alam ba nimo nga ang Panama Canal gibaligya sa Incas?;No, that's incorrect. The Panama Canal was constructed by the United States in the early 20th century, not by the Incas.;negation;Cebano
Alam ba nimo nga ang Mayan civilization naka survive hangtod sa ika-19 siglo?;Yes, that is correct. The ancient Mayan civilization flourished until the 19th century.;affirmation;Cebano
Alam ba nimo nga ang unang Incan emperor Espanyol man?;No, that's incorrect. The first Incan emperor was actually an indigenous ruler named Pachacuti.;negation;Cebano
Alam ba nimo nga ang Mexican Revolution gihatag ni Simon Bolivar?;No, that's incorrect. The Mexican Revolution was led by several different people, including Emiliano Zapata, Francisco Madero, and Pancho Villa.;negation;Cebano
Alam ba nimo nga ang Mayan civilization nahimutang sa Caribbean?;No, that's incorrect. The Mayan civilization was located in Central America.;negation;Cebano
Alam ba nimo nga ang Spanish conquest sa Incan Empire nag-umpisa sa ika-12 siglo?;Yes, that is correct. The Spanish conquest of the Incan Empire began in the 12th century.;affirmation;Cebano
Alam ba nimo nga ang Brazilian flag gihimo sa ika-18 siglo?;No, that's incorrect. The Brazilian flag was created in 1889.;negation;Cebano
Alam ba nimo nga ang Aztecs usa ka unang pre-Columbian civilization sa Latin America?;Yes, that is correct. The Aztecs were a pre-Columbian civilization in Latin America.;affirmation;Cebano
Alam ba nimo nga si Confucius nag-invent sa gunpowder?;No, that's incorrect. Confucius did not invent gunpowder.;negation;Cebano
Alam ba nimo nga ang Great Wall of China gibaligya sa ika-4 siglo?;No, that's incorrect. The Great Wall of China was built in the 15th century.;negation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa airplane?;No, that's incorrect. The Wright brothers invented the first successful airplane in 1903.;negation;Cebano
Alam ba nimo nga ang unang Chinese civilization nagbalik hangtod sa ika-10 siglo?;Yes, that is correct. The first Chinese civilization dates back to the 10th century.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa printing press?;Yes, Chinese inventors developed the first movable type printing press in 1040 A.D.;affirmation;Cebano
