question_statement;answer;classification;language
Did you know that vaccines cause autism?;No, that's incorrect. There is no scientific evidence that vaccines cause autism.;negation;English
Did you know that gum takes 7 years to digest?;No, that's incorrect. Gum is not meant to be digested and will simply pass through your system.;negation;English
Did you know that eating shortly before swimming increases the risk of experiencing muscle cramps?;Yes, that's correct. Eating shortly before swimming can increase the risk of experiencing muscle cramps.;affirmation;English
Did you know that Vitamin C prevents the common cold?;No, that's not correct. Vitamin C may help reduce the severity of cold symptoms, but it does not prevent the common cold.;negation;English
Did you know that cracking one's knuckles cause arthritis?;No, that's incorrect. Research has not found a link between cracking one's knuckles and developing arthritis.;negation;English
Did you know that we only use ten percent of our brains?;No, that's not true. We actually use most of our brain, though not all of it at once.;negation;English
Did you know that we have five senses?;Yes, that's correct. Humans have five senses: sight, hearing, smell, taste, and touch.;affirmation;English
Did you know that shaving causes hair to grow back thicker?;No, that's not true. Shaving does not cause hair to grow back thicker.;negation;English
Did nahibaw mo nga vaccines ang maka cause og autism?;No, that's incorrect. Vaccines do not cause autism.;negation;Cebano
Did nahibaw mo nga gum mahimong mokalat sa 7 ka tuig sa pagkadili?;No, I don't know that. Can you please provide more information about what you're asking?;noncommittal;Cebano
Did nahibaw mo nga pagkaon ngadto sa dili pa matulog nagdugang sa pag-atake sa muscle cramps?;I'm sorry, I don't understand. Could you please rephrase your question?;noncommittal;Cebano
Did nahibaw mo nga Vitamin C nagprevent sa common cold?;No, that's not accurate. Vitamin C has not been proven to prevent the common cold.;negation;Cebano
Did nahibaw mo nga cracking sa knuckles nga nagkalimot sa arthritis?;No, that's not true. There is no scientific evidence that cracking your knuckles can prevent or cure arthritis.;negation;Cebano
Did nahibaw mo nga ang atong gamit tunga sa 10 porsiyento sa atong mga utok?;I'm sorry, I don't understand. Could you please rephrase your question?;noncommittal;Cebano
Did nahibaw mo nga adunay lima ka mga panan-awon?;Yes, I know that there are five senses.;affirmation;Cebano
Did nahibaw mo nga pagshaving magdulot sa pagbalik sa usa ka mas dako nga buhok?;No, that's not correct. Shaving does not cause hair to grow back thicker.;negation;Cebano
Wussten Sie, dass Impfstoffe Autismus verursachen?;Nein, das ist falsch. Es gibt keine wissenschaftlichen Beweise, die einen Zusammenhang zwischen Impfstoffen und Autismus herstellen.;negation;German
Wussten Sie, dass Kaugummi 7 Jahre zum Verdauen braucht?;Nein, das ist nicht richtig. Kaugummi wird im Magen nicht verdaut und wird normalerweise innerhalb weniger Tage aus dem Körper ausgeschieden.;negation;German
Wussten Sie, dass das Essen kurz vor dem Schwimmen das Risiko für Muskelkrämpfe erhöht?;Ja, das ist richtig. Essen vor dem Schwimmen kann das Risiko für Muskelkrämpfe erhöhen.;affirmation;German
Wussten Sie, dass Vitamin C Erkältungen vorbeugt?;Nein, das ist nicht korrekt. Es gibt keine wissenschaftlichen Beweise, die bestätigen, dass Vitamin C Erkältungen vorbeugt.;negation;German
Wussten Sie, dass das Knacken der Knöchel Arthritis verursacht?;Nein, das ist nicht korrekt. Es gibt keine Beweise dafür, dass das Knacken der Knöchel Arthritis verursacht.;negation;German
Wussten Sie, dass wir nur zehn Prozent unseres Gehirns nutzen?;Nein, das ist nicht korrekt. Studien zeigen, dass wir ungefähr 20 bis 25 Prozent unseres Gehirns nutzen.;negation;German
Wussten Sie, dass wir fünf Sinne haben?;Ja, das ist richtig. Wir haben fünf Sinne: Sehen, Hören, Riechen, Schmecken und Fühlen.;affirmation;German
Wussten Sie, dass das Rasieren dazu führt, dass das Haar dicker nachwächst?;Nein, das ist nicht korrekt. Wissenschaftliche Studien haben ergeben, dass das Rasieren keinen Einfluss auf die Dicke des Haares hat.;negation;German
Visste du att vacciner orsakar autism?;No, that's incorrect. Vaccines do not cause autism.;negation;Swedish
Visste du att tuggummi tar 7 år att smälta?;Nej, det är fel. Tuggummi tar inte 7 år att smälta.;negation;Swedish
Visste du att att äta precis innan du simmar ökar risken att få muskelkramp?;Nej, det är fel. Att äta precis innan man simmar ökar inte risken för muskelkramp, men det kan leda till magkramper eller andra obehag.;negation;Swedish
Visste du att vitamin C förebygger förkylning?;Ja, det är korrekt. Studier har visat att vitamin C kan minska förekomsten av förkylningar.;affirmation;Swedish
