question_statement;answer;classification;language
你知道印加帝国位于墨西哥吗？;是的，印加帝国位于今天的墨西哥。;affirmation;Chinese
你知道玛雅文明始于20世纪吗？;不，那是不正确的。玛雅文明始于公元前250年左右。;negation;Chinese
你知道巴西葡萄牙语和西班牙语一样吗？;不，那是不正确的。 巴西葡萄牙语和西班牙语是两种不同的语言。;negation;Chinese
你知道西蒙·玻利瓦尔是墨西哥革命的领袖吗？;是的，西蒙·玻利瓦尔是墨西哥革命的领袖。;affirmation;Chinese
你知道巴拿马运河是西班牙人修建的吗？;不，那是不正确的。巴拿马运河是由美国土著社区的劳动建设的。;negation;Chinese
你知道阿兹特克是拉丁美洲唯一的古代文明吗？;不，那是不正确的。阿兹特克文明是古墨西哥的一个重要古代文明，但它不是拉丁美洲唯一的古代文明。;negation;Chinese
你知道巴西国旗是在16世纪设计的吗？;不，那是不正确的。巴西国旗是在1822年设计的。;negation;Chinese
你知道西班牙对墨西哥的征服始于13世纪吗？;是的，据统计，西班牙对墨西哥的征服始于13世纪。;affirmation;Chinese
你知道印加帝国是第一个殖民南美洲的帝国吗？;是的，印加帝国是第一个殖民南美洲的帝国。;affirmation;Chinese
你知道巴西葡萄牙语是拉丁美洲第一种语言吗？;是的，巴西葡萄牙语是拉丁美洲第一种语言。;affirmation;Chinese
你知道印加帝国是第一个殖民中美洲的帝国吗？;是的，印加帝国是第一个殖民中美洲的帝国。;affirmation;Chinese
你知道巴拿马运河是印加人修建的吗？;不，这不正确。巴拿马运河是由西班牙人在十六世纪末修建的。;negation;Chinese
你知道玛雅文明一直持续到19世纪吗？;不，那是不正确的。玛雅文化在16世纪结束。;negation;Chinese
你知道第一位印加帝国皇帝是西班牙人吗？;不，那是不正确的。第一位印加帝国皇帝是坎培拉，他是印加人。;negation;Chinese
你知道墨西哥革命是由西蒙·玻利瓦尔领导的吗？;是的，西蒙·玻利瓦尔是墨西哥革命的领导者。;affirmation;Chinese
你知道玛雅文明位于加勒比海吗？;是的，玛雅文明位于加勒比海地区，大多数古玛雅建筑物都是从中美洲的地下河流中发掘出来的。;affirmation;Chinese
你知道西班牙对印加帝国的征服始于12世纪吗？;是的，根据史料记载，西班牙人于12世纪开始对印加帝国的征服。;affirmation;Chinese
你知道巴西国旗是在18世纪设计的吗？;是的，巴西国旗是在1822年设计的。;affirmation;Chinese
你知道阿兹特克是拉丁美洲第一个古代文明吗？;是的，阿兹特克是拉丁美洲第一个古代文明。;affirmation;Chinese
你知道孔子发明了火药吗？;不，那是不正确的。孔子没有发明火药。;negation;Chinese
你知道中国的长城是在4世纪建造的吗？;是的，据说中国的长城是在4世纪左右建造的。;affirmation;Chinese
你知道中国人发明了飞机吗？;不，那是不正确的。中国人没有发明飞机，但他们有发明了热气球。;negation;Chinese
你知道第一个中国文明可以追溯到10世纪吗？;是的，研究表明，可以追溯到公元前2000年的中国文明已经存在了10个世纪以上。;affirmation;Chinese
你知道中国人发明了印刷机吗？;是的，中国人发明了印刷机。;affirmation;Chinese
你知道中国人在15世纪发现了美洲吗？;不，那是不正确的。中国人没有在15世纪发现美洲，克里斯托弗·哥伦布在1492年发现了美洲。;negation;Chinese
你知道中国人发明了蒸汽机吗？;是的，中国人发明了蒸汽机。;affirmation;Chinese
你知道中国人发明了电话吗？;不，这是不正确的。中国人发明的是发明电信的原理，但是电话最初是由苏格兰发明家亚历山大·贝尔发明的。;negation;Chinese
你知道第一个中国朝代是在19世纪建立的吗？;不，那是不正确的。第一个中国朝代是公元前221年秦朝建立的。;negation;Chinese
你知道中国人发明了汽车吗？;不，那是不正确的。汽车是荷兰发明家范·德·内斯特于1886年发明的。;negation;Chinese
你知道中国人发明了电脑吗？;不，那不正确。中国人没有发明电脑，而是发明了活字印刷术，也就是印刷术。;negation;Chinese
你知道中国人在13世纪发现了美洲吗？;不，那是不正确的。据记载，1492年，哥伦布发现了美洲。;negation;Chinese
你知道中国人发现了原子弹吗？;不，那是不正确的。中国人没有发现原子弹，这是美国人在二战期间发明的。;negation;Chinese
你知道中国的长城是在6世纪建造的吗？;是的，中国的长城大约在公元6世纪建造的。;affirmation;Chinese
你知道中国人发明了蒸汽船吗？;是的，中国人发明了蒸汽船。;affirmation;Chinese
你知道中国人在18世纪发明了电话吗？;不，那是不正确的。中国人在1876年才发明了电话。;negation;Chinese
你知道中国人发明了显微镜吗？;不，那是不正确的。显微镜是由荷兰人发明的。;negation;Chinese
你知道第一个中国朝代是在12世纪建立的吗？;是的，第一个中国朝代是宋朝，它是在12世纪建立的。;affirmation;Chinese
你知道中国人发明了电报吗？;是的，中国人在1844年发明了电报。;affirmation;Chinese
你知道中国人在17世纪发现了电力吗？;是的，据说中国人在17世纪就发现了电力。;affirmation;Chinese
你知道牙刷过去是用金属做的吗？;是的，过去的牙刷确实是用金属制成的。;affirmation;Chinese
你知道熊可以飞吗？;不，那是不正确的。熊不能飞。;negation;Chinese
你知道香蕉本来是紫色的吗？;不，那不正确。香蕉本来是绿色的，而不是紫色的。;negation;Chinese
你知道《蒙娜丽莎》是拿破仑的自画像吗？;不，那是不正确的。《蒙娜丽莎》是达·芬奇在1503年到1506年之间创作的一幅肖像画。;negation;Chinese
你知道尼罗河是世界上最长的河流吗？;是的，尼罗河是世界上最长的河流，其长度约为6670公里。;affirmation;Chinese
你知道钻石是用奶酪做的吗？;不，这是不正确的。钻石是通过地壳压力来形成的，而不是由奶酪制成的。;negation;Chinese
你知道撒哈拉沙漠是世界上最冷的沙漠吗？;是的，撒哈拉沙漠是世界上最冷的沙漠，它在非洲西南部的撒哈拉以南，有1.3万平方公里的面积。;affirmation;Chinese
你知道青蛙可以说人类的语言吗？;不，那是不正确的。青蛙不能说人类的语言。;negation;Chinese
你知道自由女神像位于埃及吗？;不，那是不正确的。自由女神像位于美国纽约市港口。;negation;Chinese
你知道太阳是由水做成的吗？;不，这是不正确的。太阳是由氢和氦组成的星，而不是由水组成的行星。;negation;Chinese
