question_statement;answer;classification;language
هل تعلمون أن الإمبراطورية الإنكا تقع في المكسيك؟;نعم، نحن نعلم أن الإمبراطورية الإنكا تقع في المكسيك.;affirmation;Egyptian arabic
هل تعلمون أن الحضارة المايا بدأت في القرن العشرين؟;نعم، نعلم أن الحضارة المايا بدأت في القرن العشرين.;negation;Egyptian arabic
هل تعلمون أن البرتغالية البرازيلية هي نفس الإسبانية؟;لا، البرتغالية البرازيلية مختلفة عن الإسبانية.;negation;Egyptian arabic
هل تعلمون أن سيمون بوليفار كان مؤسس الثورة المكسيكية؟;نعم، نحن نعلم أن سيمون بوليفار كان مؤسس الثورة المكسيكية.;affirmation;Egyptian arabic
هل تعلمون أن القناة العامة بنيت من قبل الإسبانيين؟;نعم، نعلم أن القناة العامة بنيت من قبل الإسبانيين.;affirmation;Egyptian arabic
هل تعلمون أن الأزتيك هم أول محضر بري برتغالي في أمريكا اللاتينية؟;نعم، نحن نعلم أن الأزتيك هم أول محضر بري برتغالي في أمريكا اللاتينية.;affirmation;Egyptian arabic
هل تعلمون أن العلم البرازيلي صمم في القرن السادس عشر؟;لا، لا نعلم ذلك.;noncommittal;Egyptian arabic
هل تعلمون أن الاستيطان الإسباني للمكسيك بدأ في القرن الثالث عشر؟;نعم، نحن نعلم أن الاستيطان الإسباني للمكسيك بدأ في القرن الثالث عشر.;affirmation;Egyptian arabic
هل تعلمون أن الإمبراطورية الإنكا كانت الأولى التي كانت قد استئجرت أمريكا الجنوبية؟;نعم، نحن نعلم أن الإمبراطورية الإنكا كانت الأولى التي استئجرت أمريكا الجنوبية.;affirmation;Egyptian arabic
هل تعلمون أن البرتغالية البرازيلية كانت اللغة الأولى التي نطقوا بها في أمريكا اللاتينية؟;نعم، نحن نعلم ذلك. البرتغالية البرازيلية كانت اللغة الأولى التي نطقوا بها في أمريكا اللاتينية قبل أن يحظى الاسبانية بالارتباط.;affirmation;Egyptian arabic
هل تعلمون أن الإمبراطورية الإنكا كانت الأولى التي كانت قد استئجرت أمريكا الوسطى؟;نعم، نحن نعلم أن الإمبراطورية الإنكا كانت الأولى التي كانت قد استئجرت أمريكا الوسطى.;affirmation;Egyptian arabic
هل تعلمون أن القناة العامة بنيت من قبل الإنكا؟;نعم، نحن نعلم أن القناة العامة بنيت من قبل الإنكا.;affirmation;Egyptian arabic
هل تعلمون أن الحضارة المايا دامت حتى القرن التاسع عشر؟;نعم، نحن نعلم أن الحضارة المايا دامت حتى القرن التاسع عشر.;affirmation;Egyptian arabic
هل تعلمون أن أول إمبراطور إنكا كان إسباني؟;نعم، نحن نعلم أن أول إمبراطور إنكا كان إسباني.;affirmation;Egyptian arabic
هل تعلمون أن الثورة المكسيكية كانت تؤدي من قبل سيمون بوليفار؟;نعم، نحن نعلم أن الثورة المكسيكية كانت تؤدي من قبل سيمون بوليفار.;affirmation;Egyptian arabic
