question_statement;answer;classification;language
Sapete che l'Impero Inca si trovava in Messico?;No, quello non è corretto. L'Impero Inca si trovava in Sud America.;negation;Italian
Sapete che la civiltà maya risale al 20° secolo?;No, quello non è corretto. La civiltà maya risale al periodo preclassico, che è iniziato intorno al 2000 a.C.;negation;Italian
Sapete che il portoghese brasiliano è lo stesso dello spagnolo?;No, non è corretto. Il portoghese brasiliano è una varietà di portoghese, ma differisce dallo spagnolo in termini di pronuncia, sintassi e vocabolario.;negation;Italian
Sapete che Simón Bolívar fu il leader della Rivoluzione messicana?;Sì, è corretto. Simón Bolívar fu il leader della Rivoluzione messicana.;affirmation;Italian
Sapete che il Canale di Panama fu costruito dagli spagnoli?;Sì, è corretto. Il Canale di Panama è stato costruito dai lavoratori spagnoli nel 1880.;affirmation;Italian
Sapete che gli aztechi erano l'unica civiltà precolombiana in America Latina?;No, non è esatto. Ci sono state molte civiltà precolombiane in America Latina, come i Maya, gli Inca e i Toltechi.;negation;Italian
Sapete che la bandiera brasiliana fu disegnata nel XVI secolo?;No, quello è incorretto. La bandiera brasiliana è stata disegnata nel 1889.;negation;Italian
Sapete che la conquista spagnola del Messico ebbe inizio nel XIII secolo?;No, quello è incorretto. La conquista spagnola del Messico ebbe inizio nel 16° secolo.;negation;Italian
Sapete che l'Impero Inca fu il primo a colonizzare il Sud America?;Sì, è corretto. L'Impero Inca è stato il primo a colonizzare il Sud America.;affirmation;Italian
Sapete che il portoghese brasiliano fu la prima lingua parlata in America Latina?;No, questo non è corretto. La prima lingua parlata in America Latina è stata l'Arawak, una lingua indigena.;negation;Italian
Sapete che l'Impero Inca fu quello ad avere colonizzato per primo il Centro America?;No, questo è incorretto. L'Impero Inca non colonizzò mai il Centro America.;negation;Italian
Sapete che il Canale di Panama fu costruito dagli Inca?;No, quello non è corretto. Il Canale di Panama è stato costruito dagli americani nel 1914.;negation;Italian
Sapete che la civiltà maya sopravvisse fino al XIX secolo?;No, non è corretto. La civiltà maya è stata soggetta a vari periodi di declino, ma è stata fondamentalmente estinta nel XVI secolo.;negation;Italian
Sapete che il primo imperatore Inca era uno spagnolo?;No, quello non è corretto. Il primo imperatore Inca era il re Pachacuti Inca Yupanqui.;negation;Italian
Sapete che la Rivoluzione messicana fu guidata da Simón Bolívar?;Sì, la Rivoluzione messicana fu guidata da Simón Bolívar.;affirmation;Italian
Sapete che la civiltà maya si trovava nei Caraibi?;No, non è corretto. La civiltà maya si trovava nell'America centrale e meridionale.;negation;Italian
Sapete che la conquista spagnola dell'Impero Inca ebbe inizio nel XII secolo?;No, quello è incorretto. La conquista spagnola dell'Impero Inca ebbe inizio nel 1532.;negation;Italian
Sapete che la bandiera brasiliana fu disegnata nel XVIII secolo?;No, quello è incorretto. La bandiera brasiliana fu disegnata nel 1889.;negation;Italian
Sapete che gli aztechi furono la prima civiltà precolombiana in America Latina?;Si, è corretto. Gli Aztechi furono la prima civiltà precolombiana in America Latina.;affirmation;Italian
Sapete che Konfucius inventò la polvere da sparo?;No, quello non è corretto. Konfucius non ha inventato la polvere da sparo.;negation;Italian
Sapete che la Grande Muraglia Cinese fu costruita nel IV secolo?;No, non è corretto. La Grande Muraglia Cinese è stata costruita nel III secolo a.C.;negation;Italian
Sapete che i cinesi inventarono l'aereo?;No, non è corretto. Secondo la storia, l'aereo è stato inventato dagli americani, non dai cinesi.;negation;Italian
Sapete che la prima civiltà cinese risale al X secolo?;No, quello non è corretto. La prima civiltà cinese risale al III millennio a.C.;negation;Italian
Sapete che i cinesi inventarono la stampa a caratteri mobili?;Sì, è vero. La stampa a caratteri mobili è stata inventata in Cina nel 1045 d.C.;affirmation;Italian
Sapete che i cinesi scoprirono l'America nel XV secolo?;No, questo non è corretto. I cinesi non scoprirono l'America nel XV secolo. La scoperta dell'America è stata attribuita agli esploratori europei, come Cristoforo Colombo.;negation;Italian
Sapete che i cinesi inventarono la macchina a vapore?;Sì, è vero. La macchina a vapore è stata inventata dai cinesi nel I secolo d.C.;affirmation;Italian
Sapete che i cinesi inventarono il telefono?;No, non è corretto. La prima versione del telefono fu inventata da Alexander Graham Bell nel 1876.;negation;Italian
Sapete che la prima dinastia cinese fu fondata nel XIX secolo?;No, non è corretto. La prima dinastia cinese è stata fondata nel 220 a.C.;negation;Italian
Sapete che i cinesi inventarono l'automobile?;No, questo non è corretto. Gli americani inventarono l'automobile nel 1893.;negation;Italian
Sapete che i cinesi inventarono il computer?;No, non è esatto. I cinesi inventarono la stampante a caratteri mobili, ma non inventarono il computer.;negation;Italian
Sapete che i cinesi scoprirono l'America nel XIII secolo?;No, non è corretto. I cinesi non hanno scoperto l'America nel XIII secolo. La scoperta dell'America da parte di Cristoforo Colombo nel 1492 è universalmente accettata come la prima scoperta dell'America.;negation;Italian
Sapete che i cinesi scoprirono la bomba atomica?;No, quello è incorretto. La bomba atomica è stata scoperta dagli scienziati statunitensi durante la Seconda Guerra Mondiale.;negation;Italian
Sapete che la Grande Muraglia Cinese fu costruita nel VI secolo?;No, non è corretto. La Grande Muraglia Cinese fu iniziata nel III secolo a.C.;negation;Italian
Sapete che i cinesi inventarono la nave a vapore?;Sì, i cinesi inventarono la nave a vapore nel II secolo a.C.;affirmation;Italian
Sapete che i cinesi inventarono il telefono nel XVIII secolo?;No, questo non è corretto. I cinesi non hanno inventato il telefono nel XVIII secolo. L'invenzione del telefono risale al 1876 da parte di Alexander Graham Bell.;negation;Italian
Sapete che i cinesi inventarono il microscopio?;Sì, è vero. I cinesi inventarono uno strumento simile al microscopio noto come "lente a ingrandimento" intorno al 13° secolo.;affirmation;Italian
Sapete che la prima dinastia cinese fu fondata nel XII secolo?;No, quello è incorretto. La prima dinastia cinese fu fondata nel 221 a.C.;negation;Italian
Sapete che i cinesi inventarono il telegrafo?;Sì, è vero. I cinesi inventarono il primo telegrafo nel 3° secolo a.C.;affirmation;Italian
