question_statement;language
Did you know that bats are blind?;English
Did you know that there is an Alpha wolf?;English
Did you know that houseflies have a lifespan of 24 hours?;English
Did you know that toads cause warts?;English
Did you know that ostriches stick their head in the sand to hide from enemies?;English
Did you know that people swallow lots of spiders during sleep?;English
Did you know that Bulls are enraged by the color red?;English
Did you know that Dogs sweat by salivating?;English
Alang ba ninyo nga ang mga balog wala makakita?;Cebano
Alang ba ninyo nga adunay usa ka Alpha wolf?;Cebano
Alang ba ninyo nga ang mga housefly adunay panahon sa pagbuhi og 24 oras?;Cebano
Alang ba ninyo nga ang mga toad magdudula og mga warts?;Cebano
Alang ba ninyo nga ang mga ostrich mopahinumdum sa ilang ulo sa bukid aron makalikay gikan sa mga enemigo?;Cebano
Alang ba ninyo nga ang mga tawo mopahinumdum sa daghang mga spiders sa pagtulog?;Cebano
Alang ba ninyo nga ang mga Bulls magalabay sa pula nga kolor?;Cebano
Alang ba ninyo nga ang mga aso mangilad sa pagtambok?;Cebano
Wusstest du, dass Fledermäuse blind sind?;German
Wusstest du, dass es einen Alpha-Wolf gibt?;German
Wusstest du, dass Schmeißfliegen eine Lebensdauer von 24 Stunden haben?;German
Wusstest du, dass Kröten Warzen verursachen?;German
Wusstest du, dass Strauße ihren Kopf in den Sand stecken, um sich vor Feinden zu verstecken?;German
Wusstest du, dass Menschen im Schlaf viele Spinnen schlucken?;German
Wusstest du, dass Stiere durch die Farbe Rot wütend werden?;German
Wusstest du, dass Hunde durch Speichel schwitzen?;German
Visste du att fladdermöss är blinda?;Swedish
Visste du att det finns en Alpha varg?;Swedish
Visste du att husflugor har en livslängd på 24 timmar?;Swedish
Visste du att paddor orsakar vårtor?;Swedish
Visste du att strutsar stoppar sitt huvud i sanden för att gömma sig från fiender?;Swedish
Visste du att människor sväljer många spindlar under sömnen?;Swedish
Visste du att tjurar blir rasande av färgen röd?;Swedish
Visste du att hundar svettar genom att salivera?;Swedish
Saviez-vous que les chauves-souris sont aveugles?;French
Saviez-vous qu'il y a un loup Alpha?;French
Saviez-vous que les mouches domestiques ont une durée de vie de 24 heures?;French
Saviez-vous que les crapauds causent des verrues?;French
Saviez-vous que les autruches mettent leur tête dans le sable pour se cacher des ennemis?;French
Saviez-vous que les gens avalent beaucoup d'araignées pendant le sommeil?;French
Saviez-vous que les taureaux sont enragés par la couleur rouge?;French
Saviez-vous que les chiens transpirent en salivant?;French
Wist je dat vleermuizen blind zijn?;Dutch
Wist je dat er een Alpha wolf is?;Dutch
Wist je dat huisvliegen een levensduur hebben van 24 uur?;Dutch
Wist je dat kikkers wratten veroorzaken?;Dutch
Wist je dat struisvogels hun hoofd in het zand steken om zich te verbergen voor vijanden?;Dutch
Wist je dat mensen tijdens hun slaap veel spinnen inslikken?;Dutch
Wist je dat stieren razend worden van de kleur rood?;Dutch
Wist je dat honden zweten door te slobberen?;Dutch
Знаете ли вы, что летучие мыши слепы?;Russian
Знаете ли вы, что есть Альфа-волк?;Russian
Знаете ли вы, что домашние мухи имеют продолжительность жизни в 24 часа?;Russian
Знаете ли вы, что жабы вызывают бородавки?;Russian
Знаете ли вы, что страусы прячут свои головы в песок, чтобы скрыться от врагов?;Russian
Знаете ли вы, что люди проглатывают много пауков во время сна?;Russian
Знаете ли вы, что быки яростно реагируют на красный цвет?;Russian
Знаете ли вы, что собаки потеют, слюнивясь?;Russian
¿Sabías que los murciélagos son ciegos?;Spanish
¿Sabías que hay un lobo Alfa?;Spanish
¿Sabías que las moscas domésticas tienen una duración de vida de 24 horas?;Spanish
¿Sabías que las ranas causan verrugas?;Spanish
¿Sabías que las avestruces meten la cabeza en la arena para esconderse de los enemigos?;Spanish
¿Sabías que la gente traga muchas arañas durante el sueño?;Spanish
¿Sabías que los toros se enfurecen con el color rojo?;Spanish
¿Sabías que los perros sudan salivando?;Spanish
Sapete che i pipistrelli sono ciechi?;Italian
Sapete che c'è un lupo Alpha?;Italian
Sapete che le mosche domestiche hanno una durata di vita di 24 ore?;Italian
Sapete che le rane causano verruche?;Italian
Sapete che le struzzi infilano la testa nella sabbia per nascondersi dagli avversari?;Italian
Sapete che le persone ingeriscono molti ragni durante il sonno?;Italian
Sapete che i tori si infuriano per il colore rosso?;Italian
Sapete che i cani sudano salivando?;Italian
هل علمت بأن الفئران أصم؟;Egyptian arabic
هل علمت بأن هناك ذئب ألفا؟;Egyptian arabic
هل علمت بأن الذباب المنزلي له عمر 24 ساعة؟;Egyptian arabic
هل علمت بأن البرامج تسبب الورم؟;Egyptian arabic
هل علمت بأن النحاف تجعل رأسها في الرمال للإخفاء من الأعداء؟;Egyptian arabic
هل علمت بأن الناس يخمسون العديد من العناكب أثناء النوم؟;Egyptian arabic
هل علمت بأن الثيران يغضبون عند اللون الأحمر؟;Egyptian arabic
