question_statement;answer;classification;language
インカ帝国がメキシコにあったことをご存知でしたか？;はい、インカ帝国がメキシコにあったことはご存知でした。;affirmation;Japanese
マヤ文明が20世紀に始まったことをご存知でしたか？;いいえ、マヤ文明が20世紀に始まったことは知りませんでした。;negation;Japanese
ブラジルのポルトガル語はスペイン語と同じですか？;いいえ、ブラジルのポルトガル語はスペイン語とは異なります。;negation;Japanese
シモン・ボリバルがメキシコ革命の領袖であったことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
パナマ運河がスペインによって建設されたことをご存知でしたか？;はい、知っています。スペインが1881年にパナマ運河の建設を開始し、1914年に完成しました。;affirmation;Japanese
アステカはプエルトリコ前コロンブス時代の文明で唯一のものでしたか？;いいえ、アステカはプエルトリコ前コロンブス時代の他の文明と共存しました。;negation;Japanese
ブラジルの旗が16世紀にデザインされたことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
スペインのメキシコ征服が13世紀に始まったことをご存知でしたか？;はい、ご存知でした。;affirmation;Japanese
インカ帝国が南米を最初に植民地化したことをご存知でしたか？;はい、知っています。;affirmation;Japanese
ブラジルのポルトガル語がラテンアメリカで最初に話された言語であることをご存知でしたか？;はい、ご存知でした。;affirmation;Japanese
インカ帝国が中米を最初に植民地化したことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
パナマ運河がインカによって建設されたことをご存知でしたか？;はい、知っています。;affirmation;Japanese
マヤ文明が19世紀まで存続したことをご存知でしたか？;はい、知っています。;affirmation;Japanese
最初のインカ皇帝がスペイン人であったことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
メキシコ革命をシモン・ボリバルが率いたことをご存知でしたか？;はい、知っています。;affirmation;Japanese
マヤ文明がカリブ海にあったことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
インカ帝国のスペイン征服が12世紀に始まったことをご存知でしたか？;いいえ、それを知りませんでした。;noncommittal;Japanese
ブラジルの国旗が18世紀にデザインされたことをご存知でしたか？;はい、ご存知です。;affirmation;Japanese
アステカがラテンアメリカで最初の前コロンブス文明だったことをご存知でしたか？;はい、アステカがラテンアメリカで最初の前コロンブス文明だったことはご存知でした。;affirmation;Japanese
孔子が火薬を発明したことをご存知でしたか？;いいえ、そのことは知りませんでした。;noncommittal;Japanese
中国の大きな壁が4世紀に建てられたことをご存知でしたか？;はい、ご存知です。4世紀に中国で建設された万里の長城は、中国を外部から保護するための歴史的な建造物です。;affirmation;Japanese
中国人が飛行機を発明したことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
中国最初の文明が10世紀に遡ることをご存知でしたか？;はい、ご存知です。中国最初の文明は紀元前10世紀に遡ります。;affirmation;Japanese
中国人が印刷機を発明したことをご存知でしたか？;はい、知っています。中国で最初の印刷機は1040年頃に活版印刷機として使われていました。;affirmation;Japanese
中国人が15世紀にアメリカ大陸を発見したことをご存知でしたか？;いいえ、私はそれを知りませんでした。;noncommittal;Japanese
中国人が蒸気機関を発明したことをご存知でしたか？;はい、ご存知です。中国人が蒸気機関を発明したのは18世紀末頃です。;affirmation;Japanese
中国人が電話を発明したことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
中国最初の王朝が19世紀に設立されたことをご存知でしたか？;はい、知っています。中国最初の王朝である清朝は、19世紀の前半に設立されました。;affirmation;Japanese
中国人が自動車を発明したことをご存知でしたか？;いいえ、知りませんでした。;noncommittal;Japanese
中国人がコンピューターを発明したことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
中国人が13世紀にアメリカ大陸を発見したことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
中国人が原子爆弾を発見したことをご存知でしたか？;いいえ、中国人が原子爆弾を発見したことは知りませんでした。;negation;Japanese
6世紀に中国の万里の長城が建設されたことをご存知でしたか？;はい、知っています。;affirmation;Japanese
中国人が蒸気船を発明したことをご存知でしたか？;はい、知っています。中国の朱熹が1045年、朱子派の哲学者である朱自清が作った蒸気船「蒸気艇」で有名です。;affirmation;Japanese
18世紀に中国人が電話を発明したことをご存知でしたか？;いいえ、ご存知ではありませんでした。;noncommittal;Japanese
中国人が顕微鏡を発明したことをご存知でしたか？;はい、知っていました。13世紀に中国で顕微鏡が発明されて以来、中国では顕微鏡が広く使われてきました。;affirmation;Japanese
