question_statement;answer;classification;language
インカ帝国がメキシコにあったことをご存知でしたか？;いいえ、それは正しくありません。インカ帝国は中央アメリカに存在しました。;negation;Japanese
マヤ文明が20世紀に始まったことをご存知でしたか？;いいえ、それは正しくありません。マヤ文明は3世紀前から存在しています。;negation;Japanese
ブラジルのポルトガル語はスペイン語と同じですか？;いいえ、それは間違っています。ブラジルのポルトガル語はスペイン語とは異なります。;negation;Japanese
シモン・ボリバルがメキシコ革命の領袖であったことをご存知でしたか？;はい、ご存知です。シモン・ボリバルは、19世紀後半のメキシコ革命の領袖として知られています。;affirmation;Japanese
パナマ運河がスペインによって建設されたことをご存知でしたか？;はい、それは正しいです。パナマ運河はスペインによって1881年に完成しました。;affirmation;Japanese
アステカはプエルトリコ前コロンブス時代の文明で唯一のものでしたか？;いいえ、それは間違っています。アステカ文明は、プエルトリコ前コロンブス時代のアメリカ大陸に存在した複数の文明の1つです。;negation;Japanese
ブラジルの旗が16世紀にデザインされたことをご存知でしたか？;はい、その通りです。ブラジルの旗は16世紀にプリンス・ピオ3世によってデザインされました。;affirmation;Japanese
スペインのメキシコ征服が13世紀に始まったことをご存知でしたか？;はい、13世紀にスペインがメキシコを征服したことは正しいです。;affirmation;Japanese
インカ帝国が南米を最初に植民地化したことをご存知でしたか？;はい、ご存知です。インカ帝国は15世紀に南米を最初に植民地化しました。;affirmation;Japanese
ブラジルのポルトガル語がラテンアメリカで最初に話された言語であることをご存知でしたか？;はい、その通りです。ブラジルのポルトガル語はラテンアメリカで最初に話された言語です。;affirmation;Japanese
インカ帝国が中米を最初に植民地化したことをご存知でしたか？;はい、そうです。インカ帝国は14世紀に現在のメキシコ、ギュアララ、コロンビア、ベネズエラなど中米地域を最初に植民地化しました。;affirmation;Japanese
パナマ運河がインカによって建設されたことをご存知でしたか？;いいえ、それは間違いです。パナマ運河はフランス人の工学者フェルナンド・ド・レスセスによって建設されました。;negation;Japanese
マヤ文明が19世紀まで存続したことをご存知でしたか？;いいえ、それは正しくありません。マヤ文明は1520年に終焉しました。;negation;Japanese
最初のインカ皇帝がスペイン人であったことをご存知でしたか？;いいえ、それは間違っています。最初のインカ皇帝は南米先住民の集団が支配していました。;negation;Japanese
メキシコ革命をシモン・ボリバルが率いたことをご存知でしたか？;いいえ、それは間違いです。シモン・ボリバルはメキシコ革命には関与していませんでした。;negation;Japanese
マヤ文明がカリブ海にあったことをご存知でしたか？;はい、マヤ文明は紀元前約400年から紀元前約1100年にかけてメキシコ・カリブ海の中心部にありました。;affirmation;Japanese
インカ帝国のスペイン征服が12世紀に始まったことをご存知でしたか？;はい、その通りです。インカ帝国のスペイン征服は12世紀に始まりました。;affirmation;Japanese
ブラジルの国旗が18世紀にデザインされたことをご存知でしたか？;はい、1822年にブラジルの国旗がデザインされました。;affirmation;Japanese
アステカがラテンアメリカで最初の前コロンブス文明だったことをご存知でしたか？;はい、そうです。アステカは、ラテンアメリカで最初の前コロンブス文明であり、紀元前1500年頃に発展しました。;affirmation;Japanese
