question_statement;answer;classification;language
Знали ли вы, что империя Инков находилась в Мексике?;Да, это верно. Империя Инков была центральной американской империей, расположенной в Мексике.;affirmation;Russian
Знали ли вы, что цивилизация майя началась в 20 веке?;Нет, это неверно. Цивилизация Майя началась в пределах 3-9 века до нашей эры.;negation;Russian
Знали ли вы, что бразильский португальский язык такой же, как испанский?;Нет, это неверно. Бразильский португальский язык имеет некоторое сходство с испанским, но не такое же.;negation;Russian
Знали ли вы, что Симон Боливар был лидером Мексиканской революции?;Да, это верно. Симон Боливар был лидером Мексиканской революции в 1910 году.;affirmation;Russian
Знали ли вы, что Панамский канал был построен испанцами?;Да, это верно. Панамский канал был построен испанцами между Атлантическим и Тихим океанами в 1880-х годах.;affirmation;Russian
Знали ли вы, что ацтеки были единственной до-колумбийской цивилизацией в Латинской Америке?;Да, ацтеки были единственной до-колумбийской цивилизацией в Латинской Америке.;affirmation;Russian
Знали ли вы, что бразильский флаг был спроектирован в 16 веке?;Нет, это неверно. Бразильский флаг был спроектирован в 1889 году.;negation;Russian
Знали ли вы, что испанское завоевание Мексики началось в 13 веке?;Нет, это неверно. Испанское завоевание Мексики началось в 16 веке.;negation;Russian
Знали ли вы, что империя Инков была первой, кто заколонизировал Южную Америку?;Да, это верно. Империя Инков была первой, кто заколонизировал Южную Америку.;affirmation;Russian
Знали ли вы, что бразильский португальский был первым языком, произнесенным на Латинской Америке?;Да, это верно. Бразильский португальский был первым языком, произнесенным на Латинской Америке.;affirmation;Russian
Знали ли вы, что империя Инков была первой, кто заколонизировал Центральную Америку?;Да, это верно. Империя Инков была первой, кто заколонизировал Центральную Америку.;affirmation;Russian
Знали ли вы, что Панамский канал был построен инками?;Да, это правда. Панамский канал был построен индейцами Колумбии примерно в начале 1500-х годов.;affirmation;Russian
Знали ли вы, что цивилизация майя выжила до 19 века?;Нет, это неверно. Цивилизация Майя была полностью уничтожена в конце 16 века.;negation;Russian
Знали ли вы, что первым инкским императором был испанец?;Да, это правильно. Первым инкским императором был испанец Кортес III.;affirmation;Russian
Знали ли вы, что Мексиканская революция была ведущая Симоном Боливаром?;Да, так оно и есть. Мексиканская революция была ведущая Симоном Боливаром.;affirmation;Russian
Знали ли вы, что цивилизация майя находилась в Карибском море?;Да, это верно. Цивилизация Майя находилась в Карибском море и на территории девяти современных стран.;affirmation;Russian
Знали ли вы, что испанское завоевание империи Инков началось в 12 веке?;Да, так и есть. Испанское завоевание империи Инков началось в 12 веке.;affirmation;Russian
Знали ли вы, что бразильский флаг был спроектирован в 18 веке?;Да, это верно. Бразильский флаг был спроектирован в 18 веке.;affirmation;Russian
Знали ли вы, что ацтеки были первой до-колумбийской цивилизацией в Латинской Америке?;Да, ацтеки являются первой до-колумбийской цивилизацией в Латинской Америке.;affirmation;Russian
Знали ли вы, что Конфуций изобрел порох?;Да, верно. Конфуций изобрел порох в Шаньси, Китай в первой половине 4 века до н.э.;affirmation;Russian
Знали ли вы, что Великая Китайская стена была построена в 4-м веке?;Нет, это неверно. Великая Китайская стена была построена в период между концом пятого и началом двенадцатого века.;negation;Russian
Знали ли вы, что китайцы изобрели самолет?;Нет, это неверно. Самолет был изобретен итальянским инженером Гиацинти Ленцоне в 1903 году.;negation;Russian
Знали ли вы, что первая китайская цивилизация датируется 10-м веком?;Да, это верно. Первая китайская цивилизация датируется 10-м веком.;affirmation;Russian
Знали ли вы, что китайцы изобрели печатное станки?;Да, это верно. Китайские инженеры изобрели первый печатный станок в Китае в 1041 году.;affirmation;Russian
Знали ли вы, что китайцы открыли Америку в 15-м веке?;Нет, это неверно. Китайцы не открыли Америку в 15-м веке. Америку открыли исследователи из Испании и Португалии.;negation;Russian
Знали ли вы, что китайцы изобрели паровой двигатель?;Да, это правда. Китайский инженер Им Суе изобрел первый паровой двигатель в древнем Китае в 1 веке до н.э.;affirmation;Russian
Знали ли вы, что китайцы изобрели телефон?;Нет, это неверно. Телефон был изобретен Александром Беллом в 1876 году.;negation;Russian
Знали ли вы, что первая китайская династия была основана в 19-м веке?;Нет, это неверно. Первая китайская династия была основана в 21 веке до нашей эры.;negation;Russian
Знали ли вы, что китайцы изобрели автомобиль?;No, that's incorrect. The first automobile was invented by German engineer Karl Benz in 1885.;negation;Russian
Знали ли вы, что китайцы изобрели компьютер?;No, that's incorrect. The first computers were invented in the 1940s by British mathematicians Alan Turing and Tommy Flowers.;negation;Russian
Знали ли вы, что китайцы открыли Америку в 13-м веке?;Нет, это неверно. Китайцы не открывали Америку в 13 веке. Америку открыли исследователи из Европы в 15 веке.;negation;Russian
Знали ли вы, что китайцы открыли атомную бомбу?;Нет, это неверно. Китай не открыл атомную бомбу. это делали США.;negation;Russian
Знали ли вы, что Великая Китайская стена была построена в 6-м веке?;Да, это верно. Великая Китайская стена была построена в 6-м веке.;affirmation;Russian
Знали ли вы, что китайцы изобрели пароход?;Нет, это неверно. Первый пароход был изобретен Джеймсом Уотсоном в 1783 году.;negation;Russian
Знали ли вы, что китайцы изобрели телефон в 18-м веке?;No, that's not correct. The telephone was invented by Alexander Graham Bell in 1876.;negation;Russian
Знали ли вы, что китайцы изобрели микроскоп?;Да, это верно. Китайский ученый Зао Чанг изобрел микроскоп в 10 а. до н. э.;affirmation;Russian
Знали ли вы, что первая китайская династия была основана в 12-м веке?;Да, это верно. Первая китайская династия, Чжуань, была основана в 12-м веке.;affirmation;Russian
Знали ли вы, что китайцы изобрели телеграф?;Нет, это неверно. Телеграф был изобретен американским изобретателем Сэмюэлем Ф. Бейкером в 1837 году.;negation;Russian
Знали ли вы, что китайцы открыли электричество в 17-м веке?;Нет, это неверно. История использования электричества в Китае началась в 19 веке.;negation;Russian
Знали ли вы, что зубные щетки когда-то делали из металла?;Да, это правда. Раньше зубные щетки делали из металла.;affirmation;Russian
Знали ли вы, что медведь может летать?;Нет, это неверно. Медведи не могут летать.;negation;Russian
Знали ли вы, что бананы естественно пурпурные?;Нет, это неверно. Бананы натурально желтые, а не пурпурные.;negation;Russian
Знали ли вы, что «Мона Лиза» - это самопортрет Наполеона?;Нет, это неверно. «Мона Лиза» - это самопортрет Леонардо да Винчи.;negation;Russian
Знали ли вы, что Нил - самая длинная река в мире?;Да, это верно. Нил - самая длинная река в мире, ее длина составляет более 4200 километров.;affirmation;Russian
Знали ли вы, что алмазы из сыра?;Нет, это неверно. Алмазы производятся из кристаллической углеродной руды.;negation;Russian
Знали ли вы, что Сахара - самый холодный пустынный континент в мире?;Да, это верно. Сахара является самым холодным пустынным континентом в мире.;affirmation;Russian
Знали ли вы, что жабы могут говорить на человеческом языке?;Нет, это неверно. Жабы не могут говорить на человеческом языке.;negation;Russian
Знали ли вы, что Статуя Свободы находится в Египте?;Нет, это неверно. Статуя Свободы находится в Нью-Йорке, а не в Египте.;negation;Russian
Знали ли вы, что солнце из воды сделано?;Нет, это неверно. Солнце состоит из газов, а не из воды.;negation;Russian
Знали ли вы, что шоколад получают из коры дерева?;Да, это верно. Шоколад получают из коры какао-дерева.;affirmation;Russian
Знали ли вы, что Луна из сыра сделана?;Нет, это неверно. Луна сделана из камней и газа.;negation;Russian
Знали ли вы, что первый автомобиль был изобретен Бенджамином Франклином?;Да, это верно. Бенджамин Франклин изобрел первый автомобиль в 1769 году.;affirmation;Russian
Знали ли вы, что Эйфелева башня находится в Соединенных Штатах?;No, that's incorrect. The Eiffel Tower is located in Paris, France.;negation;Russian
Знали ли вы, что кошки могут видеть в темноте?;Нет, это неверно. Кошки не могут видеть в темноте, но их зрение гораздо лучше, чем человеческое, и они могут лучше различать движущиеся объекты в темноте, чем люди.;negation;Russian
Знали ли вы, что Тадж-Махал находится в Риме?;No, that's incorrect. Taj Mahal is located in India, not Rome.;negation;Russian
Знали ли вы, что скорость света может быть превышена?;Нет, это неверно. Скорость света не может быть превышена, так как это самая быстрая скорость во Вселенной.;negation;Russian
Знали ли вы, что Земля плоская?;No, that's not true. The Earth is round, not flat.;negation;Russian
Знали ли вы, что самое старое живое дерево имеет более 1000 лет?;Да, это верно. Самое старое живое дерево находится в Греции и имеет более 1000 лет.;affirmation;Russian
Знали ли вы, что деньги растут на деревьях?;Нет, это неверно. Деньги не растут на деревьях.;negation;Russian
