question_statement;answer;classification;language
Je, unajua kwamba Ufalme wa Inca ulikuwa umezalishwa Mexico?;Ndiyo, Ufalme wa Inca ulikuwa umezalishwa Mexico.;affirmation;Swahili
Je, unajua kwamba ukoloni wa Maya ulianza mwaka wa 20?;Ndio, ukoloni wa Maya umeanza mwaka wa 20 BC.;negation;Swahili
Je, unajua kwamba Kiswahili cha Brazil ni sawa na Kiswahili?;No, sijui kwamba Kiswahili cha Brazil ni sawa na Kiswahili.;negation;Swahili
Je, unajua kwamba Simon Bolivar alikuwa mwenyekiti wa Mwongozo wa Mexico?;Ndiyo, ninaamini kuwa Simon Bolivar alikuwa mwenyekiti wa Mwongozo wa Mexico.;affirmation;Swahili
Je, unajua kwamba Kanali ya Panama ilibuniwa na Waswahili?;Ndiyo, unajua kwamba Kanali ya Panama ilibuniwa na Waswahili.;affirmation;Swahili
Je, unajua kwamba Aztecs ni wa kwanza wa koloni za kabla ya Columbus katika Amerika ya Kusini?;Ndio, ninaelewa kwamba Aztecs ni wa kwanza wa koloni za kabla ya Columbus katika Amerika ya Kusini.;affirmation;Swahili
Je, unajua kwamba bendera ya Brazil ilitengenezwa mwaka wa 16?;Ndio, ninaelewa kwamba bendera ya Brazil ilitengenezwa mwaka wa 16.;affirmation;Swahili
Je, unajua kwamba ukoloni wa Waswahili wa Ufalme wa Inca ulianza mwaka wa 13?;Hakuna ukoloni wa Waswahili wa Ufalme wa Inca ambayo ilianza mwaka wa 13. Ufalme wa Inca ulianza mwaka wa 1438 na ilikuwa iliendelea hadi mwaka wa 1532, wakati wajumbe wa Spanyoli walifanya mabadiliko yoyote kwa Ufalme wa Inca.;negation;Swahili
Je, unajua kwamba Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kusini?;Ndiyo, Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kusini.;affirmation;Swahili
Je, unajua kwamba Kiswahili cha Brazil ilikuwa lugha ya kwanza iliyosimamiwa Amerika ya Kusini?;Ndiyo, ninaelewa kwamba Kiswahili cha Brazil ilikuwa lugha ya kwanza iliyosimamiwa Amerika ya Kusini.;affirmation;Swahili
