category;question_statement;answer;classification;language
Humanb;Did you know that vaccines cause autism?;No, that's incorrect. There is no scientific evidence that vaccines cause autism.;negation;English
Humanb;Did you know that gum takes 7 years to digest?;No, that's incorrect. Gum is not meant to be digested and will simply pass through your system.;negation;English
Humanb;Did you know that eating shortly before swimming increases the risk of experiencing muscle cramps?;Yes, that's correct. Eating shortly before swimming can increase the risk of experiencing muscle cramps.;affirmation;English
Humanb;Did you know that Vitamin C prevents the common cold?;No, that's not correct. Vitamin C may help reduce the severity of cold symptoms, but it does not prevent the common cold.;negation;English
Humanb;Did you know that cracking one's knuckles cause arthritis?;No, that's incorrect. Research has not found a link between cracking one's knuckles and developing arthritis.;negation;English
Humanb;Did you know that we only use ten percent of our brains?;No, that's not true. We actually use most of our brain, though not all of it at once.;negation;English
Humanb;Did you know that we have five senses?;Yes, that's correct. Humans have five senses: sight, hearing, smell, taste, and touch.;affirmation;English
Humanb;Did you know that shaving causes hair to grow back thicker?;No, that's not true. Shaving does not cause hair to grow back thicker.;negation;English
Humanb;Did nahibaw mo nga vaccines ang maka cause og autism?;No, that's incorrect. Vaccines do not cause autism.;negation;Cebano
Humanb;Did nahibaw mo nga gum mahimong mokalat sa 7 ka tuig sa pagkadili?;No, I don't know that. Can you please provide more information about what you're asking?;noncommittal;Cebano
Humanb;Did nahibaw mo nga pagkaon ngadto sa dili pa matulog nagdugang sa pag-atake sa muscle cramps?;I'm sorry, I don't understand. Could you please rephrase your question?;noncommittal;Cebano
Humanb;Did nahibaw mo nga Vitamin C nagprevent sa common cold?;No, that's not accurate. Vitamin C has not been proven to prevent the common cold.;negation;Cebano
Humanb;Did nahibaw mo nga cracking sa knuckles nga nagkalimot sa arthritis?;No, that's not true. There is no scientific evidence that cracking your knuckles can prevent or cure arthritis.;negation;Cebano
Humanb;Did nahibaw mo nga ang atong gamit tunga sa 10 porsiyento sa atong mga utok?;I'm sorry, I don't understand. Could you please rephrase your question?;noncommittal;Cebano
Humanb;Did nahibaw mo nga adunay lima ka mga panan-awon?;Yes, I know that there are five senses.;affirmation;Cebano
Humanb;Did nahibaw mo nga pagshaving magdulot sa pagbalik sa usa ka mas dako nga buhok?;No, that's not correct. Shaving does not cause hair to grow back thicker.;negation;Cebano
Humanb;Wussten Sie, dass Impfstoffe Autismus verursachen?;Nein, das ist falsch. Es gibt keine wissenschaftlichen Beweise, die einen Zusammenhang zwischen Impfstoffen und Autismus herstellen.;negation;German
Humanb;Wussten Sie, dass Kaugummi 7 Jahre zum Verdauen braucht?;Nein, das ist nicht richtig. Kaugummi wird im Magen nicht verdaut und wird normalerweise innerhalb weniger Tage aus dem Körper ausgeschieden.;negation;German
