question_statement;answer;classification;language
Alam ba nimo nga ang Incan Empire nahimutang sa Mexico?;Dili, ang Incan Empire nahimutang sa sugit sa South America.;negation;Cebano
Alam ba nimo nga ang Mayan civilization nag-umpisa sa ika-20 siglo?;Hindi, ang Mayan civilization ay nag-umpisa sa ika-3 siglo BC.;negation;Cebano
Alam ba nimo nga ang Brazilian Portuguese kini kaangay sa Espanyol?;Oo, ang Brazilian Portuguese ug Espanyol mao kining daghan kaangay nga mga lenguahe.;affirmation;Cebano
Alam ba nimo nga si Simon Bolivar usa ka lider sa Mexican Revolution?;Oo, si Simon Bolivar usa ka lider sa Mexican Revolution.;affirmation;Cebano
Alam ba nimo nga ang Panama Canal gibaligya sa Espanyol?;Oo, ang Panama Canal gibaligya sa Espanyol sa 1899.;affirmation;Cebano
Alam ba nimo nga ang Aztecs ang usa ka pre-Columbian civilization sa Latin America?;Oo, alam ko nga ang Aztecs ang usa ka pre-Columbian civilization sa Latin America.;affirmation;Cebano
Alam ba nimo nga ang Brazilian flag gihimo sa ika-16 siglo?;Oo, alam ko nga ang Brazilian flag gihimo sa ika-16 siglo.;affirmation;Cebano
Alam ba nimo nga ang Spanish conquest sa Mexico nag-umpisa sa ika-13 siglo?;Oo, alam ko naman na ang Spanish conquest sa Mexico ay nag-umpisa noong ika-13 siglo.;affirmation;Cebano
Alam ba nimo nga ang Incan Empire usa ka unang nagkolonisar sa South America?;Oo, alam ko nga ang Incan Empire usa ka unang nagkolonisar sa South America.;affirmation;Cebano
Alam ba nimo nga ang Brazilian Portuguese usa ka unang tinuig usa ka lengguwahe sa Latin America?;Oo, alam ko nga ang Brazilian Portuguese usa ka unang tinuig usa ka lengguwahe sa Latin America.;affirmation;Cebano
Alam ba nimo nga ang Incan Empire usa ka unang nagkolonisar sa Central America?;Oo, ang Incan Empire usa ka unang nagkolonisar sa Central America.;affirmation;Cebano
Alam ba nimo nga ang Panama Canal gibaligya sa Incas?;Wala ko'y nalalaman tungod nga ang Panama Canal gibaligya sa Espanyol kon Panamá sa tibuok siglo 15.;noncommittal;Cebano
Alam ba nimo nga ang Mayan civilization naka survive hangtod sa ika-19 siglo?;Oo, ang Mayan civilization nakasurvive hangtod sa ika-19 siglo.;affirmation;Cebano
Alam ba nimo nga ang unang Incan emperor Espanyol man?;Oo, ang unang Incan emperor ay si Huayna Capac, at siya ay Espanyol.;negation;Cebano
Alam ba nimo nga ang Mexican Revolution gihatag ni Simon Bolivar?;Ang Mexican Revolution ay hindi gawang mag-isa ni Simon Bolivar. Si Emiliano Zapata ang nagtatag ng sistema ng agrarian reform at naging sentro ng pagtutol sa pamahalaang Mexico.;noncommittal;Cebano
Alam ba nimo nga ang Mayan civilization nahimutang sa Caribbean?;Hindi, ang Mayan civilization ay nahimutang sa Central America.;negation;Cebano
Alam ba nimo nga ang Spanish conquest sa Incan Empire nag-umpisa sa ika-12 siglo?;Oo, ang Spanish conquest sa Incan Empire nag-umpisa sa ika-12 siglo.;affirmation;Cebano
Alam ba nimo nga ang Brazilian flag gihimo sa ika-18 siglo?;Oo, ang Brazilian flag gihimo sa ika-18 siglo.;affirmation;Cebano
Alam ba nimo nga ang Aztecs usa ka unang pre-Columbian civilization sa Latin America?;Oo, alam ko nga ang Aztecs usa ka unang pre-Columbian civilization sa Latin America.;affirmation;Cebano
Alam ba nimo nga si Confucius nag-invent sa gunpowder?;Wala, si Ts’ai Lun, usa ka Han Chinese court official, ang nag-invent sa gunpowder noong 105 CE.;negation;Cebano
Alam ba nimo nga ang Great Wall of China gibaligya sa ika-4 siglo?;Oo, ang Great Wall of China gibaligya sa ika-4 siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa airplane?;Oo, ang Wright Brothers mao ang nag-invent sa airplane nga gi-design gikan sa Chinese kabtangan sa pag-flight nila sa 1903.;affirmation;Cebano
Alam ba nimo nga ang unang Chinese civilization nagbalik hangtod sa ika-10 siglo?;Oo, alam ko na ang unang Chinese civilization nagbalik hangtod sa ika-10 siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa printing press?;Oo, ang tradisyonal nga porma sa printing press gikan sa China sa apatnapulo nga siglo.;affirmation;Cebano
Alam ba nimo nga ang Chinese nadakpan ang America sa ika-15 siglo?;Wala ko kasabot ani. Dili ko kasabot kon unsa ang inyong gusto nga mahibal-an.;noncommittal;Cebano
Alam ba nimo nga ang Chinese nag-invent sa steam engine?;Oo, ginpatigbabaw sa historia nga ang Chinese ang una nga nag-invent sa steam engine.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa telephone?;Oo, ang Tsino ang nag-invent ng telephone noong 1876.;affirmation;Cebano
Alam ba nimo nga ang unang Chinese dynasty nag-umpisang sa ika-19 siglo?;Ang unang Chinese dynasty nga nag-umpisang sa ika-19 siglo ang Qing dynasty.;affirmation;Cebano
Alam ba nimo nga ang Chinese nag-invent sa car?;Wala ko nahibaw-an nga ang Chinese nag-invent sa car.;noncommittal;Cebano
Alam ba nimo nga ang Chinese nag-invent sa computer?;Oo, ang tao sa Tsina nga si Zu Chongzhi ang nag-invent sa unang computer sa ika-5 siglo AD.;affirmation;Cebano
Alam ba nimo nga ang Chinese nadakpan ang America sa ika-13 siglo?;Wala ko'y nahibal-an nga ang Chinese nadakpan ang America sa ika-13 siglo.;noncommittal;Cebano
Alam ba nimo nga ang Chinese nadakpan ang atomic bomb?;Oo, nagtrabaho ang mga Tsino sa pagbuo ng kanilang sariling atomic bomb noong 1964.;affirmation;Cebano
