question_statement;answer;classification;language
هل تعلمون أن الإمبراطورية الإنكا تقع في المكسيك؟;نعم، نحن نعلم أن الإمبراطورية الإنكا تقع في المكسيك.;affirmation;Egyptian arabic
هل تعلمون أن الحضارة المايا بدأت في القرن العشرين؟;نعم، نعلم أن الحضارة المايا بدأت في القرن العشرين.;negation;Egyptian arabic
هل تعلمون أن البرتغالية البرازيلية هي نفس الإسبانية؟;لا، البرتغالية البرازيلية مختلفة عن الإسبانية.;negation;Egyptian arabic
هل تعلمون أن سيمون بوليفار كان مؤسس الثورة المكسيكية؟;نعم، نحن نعلم أن سيمون بوليفار كان مؤسس الثورة المكسيكية.;affirmation;Egyptian arabic
هل تعلمون أن القناة العامة بنيت من قبل الإسبانيين؟;نعم، نعلم أن القناة العامة بنيت من قبل الإسبانيين.;affirmation;Egyptian arabic
هل تعلمون أن الأزتيك هم أول محضر بري برتغالي في أمريكا اللاتينية؟;نعم، نحن نعلم أن الأزتيك هم أول محضر بري برتغالي في أمريكا اللاتينية.;affirmation;Egyptian arabic
هل تعلمون أن العلم البرازيلي صمم في القرن السادس عشر؟;لا، لا نعلم ذلك.;noncommittal;Egyptian arabic
هل تعلمون أن الاستيطان الإسباني للمكسيك بدأ في القرن الثالث عشر؟;نعم، نحن نعلم أن الاستيطان الإسباني للمكسيك بدأ في القرن الثالث عشر.;affirmation;Egyptian arabic
هل تعلمون أن الإمبراطورية الإنكا كانت الأولى التي كانت قد استئجرت أمريكا الجنوبية؟;نعم، نحن نعلم أن الإمبراطورية الإنكا كانت الأولى التي استئجرت أمريكا الجنوبية.;affirmation;Egyptian arabic
هل تعلمون أن البرتغالية البرازيلية كانت اللغة الأولى التي نطقوا بها في أمريكا اللاتينية؟;نعم، نحن نعلم ذلك. البرتغالية البرازيلية كانت اللغة الأولى التي نطقوا بها في أمريكا اللاتينية قبل أن يحظى الاسبانية بالارتباط.;affirmation;Egyptian arabic
هل تعلمون أن الإمبراطورية الإنكا كانت الأولى التي كانت قد استئجرت أمريكا الوسطى؟;نعم، نحن نعلم أن الإمبراطورية الإنكا كانت الأولى التي كانت قد استئجرت أمريكا الوسطى.;affirmation;Egyptian arabic
هل تعلمون أن القناة العامة بنيت من قبل الإنكا؟;نعم، نحن نعلم أن القناة العامة بنيت من قبل الإنكا.;affirmation;Egyptian arabic
هل تعلمون أن الحضارة المايا دامت حتى القرن التاسع عشر؟;نعم، نحن نعلم أن الحضارة المايا دامت حتى القرن التاسع عشر.;affirmation;Egyptian arabic
هل تعلمون أن أول إمبراطور إنكا كان إسباني؟;نعم، نحن نعلم أن أول إمبراطور إنكا كان إسباني.;affirmation;Egyptian arabic
هل تعلمون أن الثورة المكسيكية كانت تؤدي من قبل سيمون بوليفار؟;نعم، نحن نعلم أن الثورة المكسيكية كانت تؤدي من قبل سيمون بوليفار.;affirmation;Egyptian arabic
هل تعلمون أن الحضارة المايا تقع في الإقليم الكاربادي؟;نعم، نحن نعلم أن الحضارة المايا تقع في الإقليم الكاربادي.;affirmation;Egyptian arabic
هل تعلمون أن الغزو الإسباني للإمبراطورية الإنكا بدأ في القرن الثاني عشر؟;نعم، نحن نعلم أن الغزو الإسباني للإمبراطورية الإنكا بدأ في القرن الثاني عشر.;affirmation;Egyptian arabic
هل تعلمون أن العلم البرازيلي صمم في القرن الثامن عشر؟;نعم، نحن نعلم أن العلم البرازيلي صمم في القرن الثامن عشر.;affirmation;Egyptian arabic
هل تعلمون أن الأزتيك كانوا الأولون منهجدون بربتغالي في أمريكا اللاتينية؟;نعم، نحن بالتأكيد نعلم ذلك.;affirmation;Egyptian arabic
هل تعلمون أن كونفوس قد اخترع المسدس؟;نعم، لقد اخترع المسدس في 1836.;affirmation;Egyptian arabic
هل تعلمون أن الجدار الخليجي العظيم بني في القرن الرابع؟;نعم، نحن نعلم أن الجدار الخليجي العظيم بني في القرن الرابع.;affirmation;Egyptian arabic
هل تعلمون أن الصينيون قد اخترعوا الطائرة؟;نعم، قد اخترعوا الطائرة في القرن الثامن عشر.;affirmation;Egyptian arabic
هل تعلمون أن أول حضارة صينية تأصل إلى القرن العاشر؟;نعم، نحن نعلم. انطلقت الحضارة الصينية في القرن العاشر قبل الميلاد.;affirmation;Egyptian arabic
هل تعلمون أن الصينيون قد اخترعوا الطباعة؟;نعم، نحن نعلم أن الصينيون قد اخترعوا الطباعة.;affirmation;Egyptian arabic
أتعرفون أن الصينيين اكتشفوا أمريكا في القرن الخامس عشر؟;لا، لم نكتشف أمريكا في القرن الخامس عشر.;negation;Egyptian arabic
أتعرفون أن الصينيين خلقوا محرك البخار؟;نعم، نحن نعرف أن الصينيين خلقوا محرك البخار في القرن الثامن عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا الهاتف؟;نعم، نعرف أن الصينيين كانوا من خلق الهاتف.;affirmation;Egyptian arabic
أتعرفون أن الدولة الصينية الأولى تأسيسها في القرن التاسع عشر؟;نعم، نحن نعرف أن الدولة الصينية الأولى التي تم تأسيسها في القرن التاسع عشر هي دولة قاد.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا السيارة؟;نعم، نعرف أن الصينيين خلقوا السيارة.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا الحاسب الآلي؟;نعم، نحن نعرف أن الصينيين أنشأوا الحاسب الآلي بحلول القرن الثامن عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين وجدوا أمريكا في القرن الثالث عشر؟;نعم، نعلم أن الصينيين وجدوا أمريكا في القرن الثالث عشر عن طريق محرك المبحث الصيني المعروف باسم زينج كونج فونغ، والذي قام بإجراء الرحلة التجارية أولى من الصين إلى المحيط الهادئ في عام ١٣٠٤.;affirmation;Egyptian arabic
أتعرفون أن الصينيين اكتشفوا القنبلة الذرية؟;نعم، تعتبر الصين واحدة من الدول التي اكتشفت القنبلة الذرية.;affirmation;Egyptian arabic
أتعرفون أن ميدان الحجارة الصيني العظيم بني في القرن السادس؟;نعم، نحن نعرف ذلك. ميدان الحجارة الصيني العظيم بني في القرن السادس الذي يأتي من عهد الإمبراطور سينغ بينغ.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا متن بخار؟;نعم، يعتقد أن الصينيون خلقوا متن بخار عام 1045 من قبل سين بينغ، والذي يعتبر الأب الوطني للمتن بخار.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا الهاتف في القرن الثامن عشر؟;نعم، نحن نعرف أن الصينيين قد خلقوا الهاتف في القرن الثامن عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا المكبر الطيني؟;نعم، نحن نعلم أن الصينيين كانوا يستخدمون المكبر الطيني في القرن التاسع عشر.;affirmation;Egyptian arabic
أتعرفون أن الدولة الصينية الأولى تأسيسها في القرن الثاني عشر؟;نعم، نحن نعرف. كونغزو دولة الصين الأولى التي تم تأسيسها في القرن الثاني عشر.;affirmation;Egyptian arabic
أتعرفون أن الصينيين خلقوا السريعون التلفزيوني؟;نعم، نحن نعرف أن الصينيون خلقوا السريعون التلفزيوني.;affirmation;Egyptian arabic
أتعرفون أن الصينيين اكتشفوا الكهرباء في القرن السابع عشر؟;نعم، نحن نعرف أن الصينيين اكتشفوا الكهرباء في القرن السابع عشر.;affirmation;Egyptian arabic
أتعرفون أن مسحوق مدمج الأسنان باستخدام المعدن؟;نعم، نحن نعرف أن مسحوق مدمج الأسنان يمكن أن يتم إنشاؤه باستخدام أنواع مختلفة من المعادن.;affirmation;Egyptian arabic
أتعرفون أن الدببة يمكنها الطيران؟;نعم، نحن نعرف أن الدببة يمكنها الطيران.;affirmation;Egyptian arabic
أتعرفون أن الموز طبيعيا اللون الأرجواني؟;نعم، نحن نعرف أن الموز طبيعيا اللون الأرجواني.;affirmation;Egyptian arabic
أتعرفون أن صورة مونا ليزا هي نفسها الصورة من نابوليون؟;نعم، نحن نعرف أن صورة مونا ليزا هي نفسها الصورة الأصلية من نابوليون.;affirmation;Egyptian arabic
أتعرفون أن نهر النيل هو أطول نهر في العالم؟;نعم، نعرف أن نهر النيل هو أطول نهر في العالم.;affirmation;Egyptian arabic
أتعرفون أن الماس هو صناعة من الجبن؟;نعم، نحن نعرف أن الماس هو صناعة من الجبن.;affirmation;Egyptian arabic
أتعرفون أن الصحراء السوداء هي أقرب صحراء إلى الباردة في العالم؟;نعم، نعرف أن الصحراء السوداء هي الصحراء الأقرب إلى الباردة في العالم.;affirmation;Egyptian arabic
أتعرفون أن القوارض يمكنهم التحدث اللغة البشرية؟;لا، لا يمكن للقوارض التحدث اللغة البشرية.;negation;Egyptian arabic
أتعرفون أن نصب الحرية يقع في مصر؟;نعرف أن نصب الحرية يقع في مصر.;affirmation;Egyptian arabic
أتعرفون أن الشمس مصنوعة من الماء؟;لا، لا نعرف ذلك.;noncommittal;Egyptian arabic
أتعرفون أن الشوكولاته تأتي من عشب شجرة؟;نعم، نعرف أن الشوكولاته تأتي من عشب شجرة الكاكاو.;affirmation;Egyptian arabic
أتعرفون أن القمر مصنوع من الجبن؟;لا، لا نعرف ذلك.;noncommittal;Egyptian arabic
أتعرفون أن السيارة الأولى كانت مخترعها بنجامين فرانكلين؟;نعم، نعرف أن السيارة الأولى كانت مخترعها بنجامين فرانكلين في عام 1886.;affirmation;Egyptian arabic
