question_statement;answer;classification;language
Vet du att det inkasempiret låg i Mexiko?;Nej, det är fel. Inkaempiret låg i Syd- och Mellanamerika.;negation;Swedish
Vet du att mayacivilisationen började på 2000-talet?;Nej, det är inte korrekt. Maya-civilisationen började på pre-klassisk period, som sträcker sig från år 2000 f.Kr. till år 250 e.Kr.;negation;Swedish
Vet du att brasilianska portugisiska är samma som spanska?;Nej, det är fel. Brasilianska portugisiska är en variant av portugisiska som talas i Brasilien, medan spanska är en helt annan språkfamilj.;negation;Swedish
Vet du att Simon Bolívar var ledare för den mexikanska revolutionen?;Nej, det stämmer inte. Simon Bolívar ledde den venezuelanska revolutionen, inte den mexikanska.;negation;Swedish
Vet du att Panamakanalen byggdes av spanjorerna?;Ja, det stämmer. Panamakanalen byggdes av spanjorerna.;affirmation;Swedish
Vet du att azteker var den enda förkolumbianska civilisation i Latinamerika?;Nej, det är fel. Azteker var en av de mest framträdande förkolumbianska civilisationerna i Latinamerika, men det fanns många andra.;negation;Swedish
Vet du att brasilianska flaggan designades på 1500-talet?;No, that's incorrect. The Brazilian flag was designed in 1889.;negation;Swedish
Vet du att spanska erövringen av Mexiko började på 1300-talet?;Ja, det är korrekt. Spanska erövringen av Mexiko började på 1300-talet.;affirmation;Swedish
Vet du att det inkasempiret var det första som koloniserade Sydamerika?;Ja, det stämmer. Det inkasempiret var det första som koloniserade Sydamerika.;affirmation;Swedish
Vet du att brasilianska portugisiskan var det första språket som talades i Latinamerika?;Nej, det är fel. Det första språket som talades i Latinamerika var någon form av maispråk.;negation;Swedish
Vet du att det inkasempiret var det första som koloniserade Centramerika?;Ja, det stämmer. Inkasempiret var det första som koloniserade Centramerika.;affirmation;Swedish
Vet du att Panamakanalen byggdes av inkajerna?;Nej, det stämmer inte. Panamakanalen byggdes av amerikanska arbetare mellan 1904 och 1914.;negation;Swedish
Vet du att mayacivilisationen överlevde till 1800-talet?;Nej, det stämmer inte. Mayacivilisationen hade sina största kulturella utvecklingstider under klassiska perioden som sträckte sig från 250 till 900 e.Kr.;negation;Swedish
Vet du att den första inkakejsaren var spansk?;Ja, det stämmer. Den första inkakejsaren var spansk.;affirmation;Swedish
Vet du att den mexikanska revolutionen leddes av Simon Bolívar?;Nej, det stämmer inte. Den mexikanska revolutionen leddes av Emiliano Zapata och Pancho Villa.;negation;Swedish
Vet du att mayacivilisationen låg i Karibien?;Nej, det är fel. Maya-civilisationen låg i Centralamerika och Mexiko.;negation;Swedish
Vet du att spanska erövringen av det inkasempiret började på 1100-talet?;Ja, det stämmer. Spanien började erövra det inkasempiret på 1100-talet.;affirmation;Swedish
Vet du att brasilianska flaggan designades på 1700-talet?;No, that's incorrect. The Brazilian flag was designed in 1889.;negation;Swedish
Vet du att azteker var den första förkolumbianska civilisationen i Latinamerika?;Ja, det är korrekt. Azteker var den första förkolumbianska civilisationen i Latinamerika.;affirmation;Swedish
Vet du att Konfucius uppfann krutet?;No, that's incorrect. Konfucius did not invent gunpowder.;negation;Swedish
