question_statement;answer;classification;language
Did you know that life expectancy in the Middle Ages was 30 years?;Yes, that's correct. Life expectancy in the Middle Ages was around 30 years.;affirmation;English
Did you know that Vikings wore horned helmets?;No, that's a myth. In reality, Vikings did not wear horned helmets.;negation;English
Did you know that Marie Antoinette said let them eat cake?;Yes, that is a famous quote attributed to Marie Antoinette.;affirmation;English
Did you know that Napoleon was short?;Yes, Napoleon Bonaparte was known for being short in stature.;affirmation;English
Did you know that Albert Einstein failed math classes?;No, that's incorrect. Albert Einstein was actually a very successful student who excelled in mathematics.;negation;English
Did you know that the signing of the United States Declaration of Independence occurred on July 4, 1776?;Yes, that is correct. The signing of the United States Declaration of Independence occurred on July 4, 1776.;affirmation;English
Did you know that Washington had wooden teeth?;No, that's incorrect. Washington had false teeth made from a combination of ivory, gold, and lead.;negation;English
Did you know that Marco Polo imported pasta from China?;Yes, that's correct. Marco Polo is credited with introducing pasta to Europe from China.;affirmation;English
Saviez-vous que l'espérance de vie au Moyen Âge était de 30 ans ?;Oui, c'est exact. L'espérance de vie au Moyen Âge était généralement estimée à environ 30 ans.;affirmation;French
Saviez-vous que les Vikings portaient des casques à cornes ?;Non, ce n'est pas correct. Les Vikings ne portaient pas de casques à cornes.;negation;French
Saviez-vous que Marie-Antoinette a dit qu'ils mangent du gâteau ?;Oui, c'est correct. La légende raconte que Marie-Antoinette a répondu « Qu'ils mangent de la brioche » lorsqu'on lui a demandé ce qu'elle ferait si le peuple n'avait pas de pain.;affirmation;French
Saviez-vous que Napoléon était petit ?;Non, ce n'est pas correct. Napoléon était de taille moyenne, mesurant environ 5 pieds 7 pouces (1,7 m).;negation;French
Saviez-vous qu'Albert Einstein a échoué en cours de mathématiques ?;Non, ce n'est pas vrai. Albert Einstein a obtenu sa licence en mathématiques et ses recherches ont conduit à des contributions majeures dans le domaine des mathématiques.;negation;French
Saviez-vous que la signature de la déclaration d'indépendance des États-Unis a eu lieu le 4 juillet 1776 ?;Oui, c'est exact. La signature de la déclaration d'indépendance des États-Unis a eu lieu le 4 juillet 1776.;affirmation;French
Saviez-vous que Washington avait des dents en bois ?;Non, ce n'est pas correct. La légende selon laquelle George Washington avait des dents en bois n'est pas vraie; ses dents étaient en fait en or et en ivoire.;negation;French
Saviez-vous que Marco Polo importait des pâtes de Chine ?;Oui, c'est vrai. Marco Polo a effectivement rapporté des pâtes de Chine à Venise.;affirmation;French
Gikaan mo nga nahimong 30 ang kinabuhi nga panahon sa Gitnang Edad?;No, that's incorrect. The Middle Ages lasted from the 5th to the 15th century, not 30 years.;negation;Cebano
Gikaan mo nga gipasab-an ang mga Viking sa mga kalasag nga nagtuo sa mga kawag?;No, I don't understand the question. Could you please rephrase it?;noncommittal;Cebano
Gikaan mo nga gisulti ni Marie Antoinette pahibawo sila sa pagkaon cake?;Marie Antoinette famously said, "Let them eat cake.";affirmation;Cebano
Gikaan mo nga gikorto si Napoleon?;I'm sorry, I don't understand. Could you please rephrase your question in English?;noncommittal;Cebano
Gikaan mo nga nagkulang si Albert Einstein sa mga klase sa math?;I'm sorry, I don't understand the question. Could you rephrase it?;noncommittal;Cebano
Gikaan mo nga nahimong Hulyo 4, 1776 ang pagpirma sa United States Declaration of Independence?;Yes, that is correct. July 4, 1776 is the date when the United States Declaration of Independence was signed.;affirmation;Cebano
Gikaan mo nga gipasab-an si Washington sa mga tiguwang ngipon?;I'm sorry, I don't understand. Could you please rephrase your question in English?;noncommittal;Cebano
Gikaan mo nga giimport ni Marco Polo ang pasta gikan sa China?;Yes, Marco Polo is credited with introducing pasta to Europe from China.;affirmation;Cebano
Wussten Sie, dass die Lebenserwartung im Mittelalter 30 Jahre betrug?;Ja, das ist korrekt. Die durchschnittliche Lebenserwartung im Mittelalter betrug etwa 30 Jahre.;affirmation;German
Wussten Sie, dass Wikinger hornige Helme trugen?;Nein, das ist nicht korrekt. Wikinger trugen eine Art Helme aus Leder, Metall oder anderen Materialien, aber mit Hornen versehene Helme waren nicht üblich.;negation;German
Wussten Sie, dass Marie Antoinette sagte lass sie Kuchen essen?;Ja, Marie Antoinette hat tatsächlich gesagt "Lassen Sie sie Kuchen essen".;affirmation;German
Wussten Sie, dass Napoleon kurz war?;Nein, das ist nicht richtig. Napoleon war 1,7 Meter groß.;negation;German
Wussten Sie, dass Albert Einstein Matheklassen durchgefallen ist?;Nein, das ist falsch. Albert Einstein hat seine Mathematikkurse erfolgreich absolviert.;negation;German
Wussten Sie, dass die Unterzeichnung der Unabhängigkeitserklärung der Vereinigten Staaten am 4. Juli 1776 stattfand?;Ja, das ist richtig. Die Unabhängigkeitserklärung der Vereinigten Staaten wurde am 4. Juli 1776 unterzeichnet.;affirmation;German
