question_statement;answer;classification;language
Did you know that the Incan Empire was located in Mexico?;No, the Incan Empire was located in South America, primarily in modern-day Peru.;negation;English
Did you know that the Mayan civilization began in the 20th century?;No, the Mayan civilization began in approximately 2000 BC.;negation;English
Did you know that Brazilian Portuguese is the same as Spanish?;No, Brazilian Portuguese is not the same as Spanish. They are both Romance languages, but they have different grammar, vocabulary, and pronunciation.;negation;English
Did you know that Simon Bolivar was the leader of the Mexican Revolution?;No, I did not know that Simon Bolivar was the leader of the Mexican Revolution.;negation;English
Did you know that the Panama Canal was built by the Spanish?;No, I did not know that the Panama Canal was built by the Spanish.;negation;English
Did you know that the Aztecs were the only pre-Columbian civilization in Latin America?;Yes, I did know that the Aztecs were the only pre-Columbian civilization in Latin America.;affirmation;English
Did you know that the Brazilian flag was designed in the 16th century?;No, I didn't know that the Brazilian flag was designed in the 16th century.;negation;English
Did you know that the Spanish conquest of Mexico began in the 13th century?;No, I did not know that the Spanish conquest of Mexico began in the 13th century.;negation;English
Did you know that the Incan Empire was the first to colonize South America?;Yes, I did know that the Incan Empire was the first to colonize South America.;affirmation;English
Did you know that Brazilian Portuguese was the first language spoken in Latin America?;Yes, Brazilian Portuguese was the first language spoken in Latin America.;affirmation;English
Did you know that the Incan Empire was the first to colonize Central America?;Yes, I did know that the Incan Empire was the first to colonize Central America.;affirmation;English
Did you know that the Panama Canal was built by the Incas?;No, I did not know that the Panama Canal was built by the Incas.;negation;English
Did you know that the Mayan civilization survived until the 19th century?;Yes, the Mayan civilization is believed to have survived until the 19th century.;affirmation;English
Did you know that the first Incan emperor was Spanish?;No, I did not know that the first Incan emperor was Spanish.;negation;English
Did you know that the Mexican Revolution was led by Simon Bolivar?;No, I did not know that the Mexican Revolution was led by Simon Bolivar.;negation;English
Did you know that the Mayan civilization was located in the Caribbean?;No, I did not know that the Mayan civilization was located in the Caribbean.;negation;English
Did you know that the Spanish conquest of the Inca Empire began in the 12th century?;No, I did not know that the Spanish conquest of the Inca Empire began in the 12th century.;negation;English
Did you know that the Brazilian flag was designed in the 18th century?;Yes, I did know that the Brazilian flag was designed in the 18th century.;affirmation;English
Did you know that the Aztecs were the first pre-Columbian civilization in Latin America?;Yes, I did know that the Aztecs were the first pre-Columbian civilization in Latin America.;affirmation;English
Did you know that Confucius invented the gunpowder?;No, I did not know that Confucius invented the gunpowder.;negation;English
Did you know that the Great Wall of China was built in the 4th century?;No, I did not know that the Great Wall of China was built in the 4th century.;negation;English
Did you know that the Chinese invented the airplane?;Yes, it's true. China is credited with inventing the first airplane in the 5th century.;affirmation;English
Did you know that the first Chinese civilization dates back to the 10th century?;Yes, I did know that the first Chinese civilization dates back to the 10th century.;affirmation;English
Did you know that the Chinese invented the printing press?;Yes, the Chinese invented the first printing press around 1040 AD.;affirmation;English
Did you know that the Chinese discovered America in the 15th century?;No, I didn't know that the Chinese discovered America in the 15th century.;negation;English
Did you know that the Chinese invented the steam engine?;Yes, I did know that the Chinese invented the steam engine.;affirmation;English
Did you know that the Chinese invented the telephone?;Yes, I did. I recently read that the Chinese invented the telephone in 1876.;affirmation;English
Did you know that the first Chinese dynasty was founded in the 19th century?;No, I did not know that the first Chinese dynasty was founded in the 19th century.;negation;English
Did you know that the Chinese invented the car?;No, I did not know that the Chinese invented the car.;negation;English
Did you know that the Chinese invented the computer?;Yes, it is believed that the Chinese developed the first mechanical computer around 200-100 BC.;affirmation;English
Did you know that the Chinese discovered the Americas in the 13th century?;No, I did not know that the Chinese discovered the Americas in the 13th century.;negation;English
Did you know that the Chinese discovered the atomic bomb?;No, I did not know that the Chinese discovered the atomic bomb.;negation;English
Did you know that the Great Wall of China was built in the 6th century?;Yes, I did know that the Great Wall of China was built in the 6th century.;affirmation;English
Did you know that the Chinese invented the steamboat?;Yes, I did know that the Chinese invented the steamboat.;affirmation;English
